customer_id,first_name,last_name,email,phone,signup_date,segment,city,state,lifetime_value
C000032,Kayla,Shah,kayla.shah32@gmail.com,967-054-6688,2026-01-01,vip,South Jeffrey,NE,19400.0
C000033,Todd,Price,todd.price33@hotmail.com,627-298-0699,2026-04-03,standard,North Dawnberg,VI,802.51
C000034,Steven,Williams,steven.williams34@yahoo.com,537-556-4641,2025-06-08,standard,Lake Amberstad,IN,6693.52
C000035,Debra,Harrington,debra.harrington35@hotmail.com,003-309-2327,2026-04-13,standard,New Staciemouth,UT,23572.74
C000036,Jonathan,Wood,jonathan.wood36@hotmail.com,912-419-0496,2025-02-14,new,North Brittany,MP,7866.95
C000037,Courtney,Garcia,courtney.garcia37@yahoo.com,919-058-6518,2026-03-10,premium,Alexanderchester,GU,9890.8
C000038,Tracy,Hamilton,tracy.hamilton38@yahoo.com,726-284-9877,2025-04-15,new,Marcusbury,MP,11471.3
C000039,Sarah,Ramirez,sarah.ramirez39@yahoo.com,379-965-0752,2025-07-05,standard,West Lauren,MA,6165.69
C000040,Joshua,Carlson,joshua.carlson40@yahoo.com,808-313-6783,2026-05-16,premium,Brewerfort,NV,6568.54
C000041,Laura,Davis,laura.davis41@gmail.com,634-957-8856,2025-10-10,premium,Michaelmouth,KY,22445.57
C000042,Kristopher,Hall,kristopher.hall42@hotmail.com,351-823-3749,2025-08-31,standard,Tinaborough,LA,5483.02
C000043,Jeremy,White,jeremy.white43@gmail.com,824-008-4271,2023-06-28,new,Taylormouth,MA,12738.16
C000044,Jack,Williams,jack.williams44@yahoo.com,116-719-0229,2024-09-22,standard,East Davidchester,PA,1177.91
C000045,Caitlin,Montgomery,caitlin.montgomery45@hotmail.com,677-496-4990,2026-01-11,standard,Port Jaredborough,KS,15686.15
C000046,Donna,Moore,donna.moore46@gmail.com,812-067-9740,2024-06-02,premium,Jasminemouth,CA,10554.0
C000047,Grace,Bradshaw,grace.bradshaw47@hotmail.com,936-183-2421,2023-09-09,standard,Port Kyle,WA,9540.48
C000048,Madison,Morse,madison.morse48@yahoo.com,174-648-8771,2025-12-24,new,South Jessicaview,AK,13227.86
C000049,Christopher,Hayden,christopher.hayden49@hotmail.com,904-902-7874,2024-03-16,new,Waltersfort,CO,21519.49
C000050,Theodore,Ortiz,theodore.ortiz50@yahoo.com,125-674-6807,2023-10-23,standard,Johnnyville,WI,18018.05
C000051,Richard,Robertson,richard.robertson51@gmail.com,876-038-5977,2023-08-28,premium,West Andrea,LA,13424.26
C000052,Samuel,Wolfe,samuel.wolfe52@gmail.com,093-248-0861,2024-05-23,standard,South Staceyberg,NM,16024.04
C000053,Sarah,Carter,sarah.carter53@hotmail.com,467-737-8263,2025-12-26,standard,Port Chad,WI,10869.13
C000054,Kristy,Perry,kristy.perry54@hotmail.com,404-499-7278,2025-06-30,standard,Martinside,MS,23845.4
C000055,Stanley,Morris,stanley.morris55@gmail.com,396-360-5766,2026-04-05,new,South Tammie,DC,6584.73
C000056,Wayne,Lawrence,wayne.lawrence56@gmail.com,718-702-6217,2024-07-24,standard,Cindyfurt,SD,4466.3
C000057,Christopher,Murphy,christopher.murphy57@hotmail.com,865-780-9134,2024-05-27,new,South Tiffanyville,NV,21762.96
C000058,Garrett,Evans,garrett.evans58@gmail.com,050-455-6238,2025-03-10,standard,East Gregory,RI,15973.74
C000059,Monica,Harvey,monica.harvey59@gmail.com,792-374-7407,2024-08-28,premium,North Scott,MI,3820.98
C000060,Vanessa,Evans,vanessa.evans60@yahoo.com,474-367-1369,2024-12-17,premium,Victoriaport,AK,13484.48
C000061,Tiffany,Barrett,tiffany.barrett61@yahoo.com,090-974-3953,2026-02-21,premium,New John,WV,13258.84
C000062,Jennifer,Hopkins,jennifer.hopkins62@gmail.com,104-709-5214,2024-10-28,standard,Thompsonberg,WY,8103.9
C000063,Amber,Mata,amber.mata63@hotmail.com,842-474-5171,2024-01-13,standard,Port Erica,TX,23227.47
C000064,Tina,Coffey,tina.coffey64@hotmail.com,516-048-1754,2025-12-03,new,Carsonstad,CT,20791.64
C000065,Emily,Ruiz,emily.ruiz65@hotmail.com,859-317-4612,2023-08-18,standard,West Wendyville,CT,1448.13
C000066,Jimmy,Medina,jimmy.medina66@yahoo.com,758-692-6179,2025-03-03,new,Antoniostad,IL,23673.74
C000067,Scott,Sampson,scott.sampson67@yahoo.com,158-506-4317,2023-10-29,standard,Lake Danielle,AK,12149.76
C000068,Brent,Cook,brent.cook68@gmail.com,931-839-3352,2025-12-20,standard,West Micheleberg,DC,19015.05
C000069,Amber,Lindsey,amber.lindsey69@gmail.com,020-539-5024,2023-08-29,premium,Lake Robert,DE,3209.79
C000070,Julie,Alvarez,julie.alvarez70@yahoo.com,891-783-9084,2025-05-20,standard,North Yolandafurt,NE,13745.09
C000071,Gina,Henry,gina.henry71@yahoo.com,115-921-2499,2025-10-07,standard,Oscarhaven,LA,21810.83
C000072,Shawn,Jacobs,shawn.jacobs72@gmail.com,183-673-6576,2025-03-16,standard,West Ronaldview,MN,5294.96
C000073,Stephanie,Mcdaniel,stephanie.mcdaniel73@yahoo.com,111-161-5280,2025-12-06,standard,Elizabethchester,MI,18248.28
C000074,Morgan,Pugh,morgan.pugh74@yahoo.com,049-451-9832,2026-03-25,standard,Walkerville,MI,7792.91
C000075,Megan,Richardson,megan.richardson75@yahoo.com,936-899-8094,2023-07-23,new,West Jacqueline,ME,16246.95
C000076,Sandra,Bell,sandra.bell76@gmail.com,296-120-1836,2025-03-22,standard,Petersonstad,ME,12939.4
C000077,Jennifer,Frank,jennifer.frank77@hotmail.com,910-229-0147,2026-04-02,standard,Tuckermouth,MT,5617.43
C000078,Joshua,Fischer,joshua.fischer78@gmail.com,561-497-8403,2025-02-12,standard,North Jamesborough,WI,14707.72
C000079,Derrick,Scott,derrick.scott79@yahoo.com,107-622-6838,2025-10-23,standard,Charleston,NE,5505.43
C000080,Andrew,Morse,andrew.morse80@yahoo.com,969-664-1605,2024-03-01,standard,Collierstad,CO,15777.57
C000081,Samuel,Rodriguez,samuel.rodriguez81@yahoo.com,968-164-5352,2023-10-05,standard,New Williamstad,MI,22635.5
C000082,Jessica,Fuentes,jessica.fuentes82@gmail.com,312-432-9212,2026-02-08,new,Marshallshire,WV,1771.43
C000083,Bethany,Maldonado,bethany.maldonado83@hotmail.com,955-271-7744,2025-12-13,standard,West Williamport,NH,16724.44
C000084,Shannon,Brown,shannon.brown84@yahoo.com,119-986-7980,2025-05-07,standard,West Cassidy,NY,3307.8
C000085,Edward,Brown,edward.brown85@gmail.com,518-203-7788,2026-01-11,new,West Nathan,LA,14276.08
C000086,Paul,Schroeder,paul.schroeder86@hotmail.com,905-151-8644,2026-03-24,standard,West Christopher,TN,19615.49
C000087,Donald,Bailey,donald.bailey87@hotmail.com,629-148-6528,2023-11-01,vip,Romerotown,MN,4760.25
C000088,Kyle,Bean,kyle.bean88@yahoo.com,733-221-4188,2025-09-03,standard,Lake Matthewberg,PA,10776.28
C000089,Nicholas,Martin,nicholas.martin89@hotmail.com,927-065-3794,2025-05-06,standard,New John,AS,11675.62
C000090,Kristen,Mckee,kristen.mckee90@gmail.com,597-746-8862,2024-04-14,premium,Port John,SD,16834.11
C000091,Timothy,Watson,timothy.watson91@gmail.com,814-124-7826,2023-10-29,new,Port Shannon,MI,2460.45
C000092,Sarah,Perry,sarah.perry92@yahoo.com,853-615-3051,2026-03-14,standard,Laceyberg,AZ,8482.57
C000093,Justin,Gallegos,justin.gallegos93@hotmail.com,277-901-0432,2025-10-08,new,Rodriguezport,IA,6216.41
C000094,Kevin,Williams,kevin.williams94@yahoo.com,971-179-8089,2024-06-18,standard,West Ruben,RI,11215.34
C000095,Michael,Duncan,michael.duncan95@gmail.com,185-188-8880,2025-02-04,standard,Williamsfurt,MN,6963.63
C000096,Jon,Smith,jon.smith96@gmail.com,531-952-0585,2026-03-03,standard,Port Kimberly,NH,23081.64
C000097,Tina,Mendoza,tina.mendoza97@gmail.com,217-043-0305,2024-10-02,standard,Haysside,NJ,21533.73
C000098,Jon,Mullins,jon.mullins98@gmail.com,450-541-5667,2025-01-29,premium,Terrifort,UT,1264.71
C000099,Tyler,Glass,tyler.glass99@hotmail.com,416-169-2845,2023-11-15,new,West Donnaport,NV,20900.69
C000100,Carrie,Simmons,carrie.simmons100@hotmail.com,757-059-6401,2026-04-16,new,Coxburgh,AK,23159.17
C000101,Douglas,Lawson,douglas.lawson101@yahoo.com,021-355-6909,2024-02-02,vip,Rushstad,NV,4157.78
C000102,Kathryn,Berry,kathryn.berry102@hotmail.com,565-431-0278,2025-01-30,standard,West Kimberlymouth,IL,5343.68
C000103,Wendy,Mitchell,wendy.mitchell103@yahoo.com,312-172-7155,2023-09-17,standard,Patriciaburgh,VT,1465.88
C000104,Jenna,Graves,jenna.graves104@gmail.com,583-132-3705,2025-10-16,standard,Tannerside,DC,24632.72
C000105,Cheryl,Miller,cheryl.miller105@yahoo.com,678-669-1251,2025-05-08,standard,Frazierstad,DC,19601.77
C000106,Natalie,Deleon,natalie.deleon106@hotmail.com,922-680-1824,2024-02-19,standard,West Sarah,IN,10575.19
C000107,Michael,Everett,michael.everett107@yahoo.com,143-842-4981,2025-07-28,new,New Shelly,FL,24885.57
C000108,George,Weber,george.weber108@hotmail.com,590-010-9439,2025-03-17,premium,South Pamelaside,LA,17960.21
C000109,Dawn,Turner,dawn.turner109@gmail.com,647-102-7677,2024-04-20,standard,Catherinemouth,VI,7417.7
C000110,Jennifer,Gross,jennifer.gross110@yahoo.com,625-881-5371,2024-07-28,new,Wrightville,AR,14479.51
C000111,Kelly,Cruz,kelly.cruz111@hotmail.com,632-595-3278,2025-06-03,standard,Kochfort,AK,18699.39
C000112,Christopher,Long,christopher.long112@yahoo.com,339-500-4797,2024-08-25,standard,Port Danielberg,FM,14604.44
C000113,Joseph,Diaz,joseph.diaz113@yahoo.com,506-098-3584,2023-10-01,standard,Gordonside,KY,21318.0
C000114,Marcia,Hanson,marcia.hanson114@hotmail.com,121-655-8523,2025-12-30,standard,Porterton,AZ,24019.47
C000115,Derrick,Cook,derrick.cook115@yahoo.com,872-982-5952,2025-02-08,standard,Brittneyhaven,MP,4645.62
C000116,William,Burns,william.burns116@hotmail.com,470-551-6940,2025-12-22,premium,Bakershire,OK,16880.31
C000117,Jeremy,Williams,jeremy.williams117@yahoo.com,289-623-0913,2023-07-08,standard,Edwardsberg,MT,2997.17
C000118,Hannah,Jenkins,hannah.jenkins118@hotmail.com,702-838-5786,2024-10-08,new,South Rhonda,MA,6155.38
C000119,Amy,Lowe,amy.lowe119@hotmail.com,497-334-8434,2024-08-30,premium,Lake Janet,MD,15484.54
C000120,Timothy,Castro,timothy.castro120@hotmail.com,441-986-6524,2023-08-13,standard,Stephanieland,MI,14591.81
C000121,Sandra,Douglas,sandra.douglas121@hotmail.com,733-848-4219,2025-12-06,standard,East Brent,MH,23367.66
C000122,Amanda,Little,amanda.little122@gmail.com,165-712-0826,2026-03-19,standard,Woodsborough,WV,17904.8
C000123,Tamara,Morris,tamara.morris123@hotmail.com,019-380-2620,2025-02-14,standard,Lopezport,FM,9894.65
C000124,Benjamin,Evans,benjamin.evans124@hotmail.com,154-788-7287,2024-08-05,premium,Port Daniel,GA,7499.93
C000125,Jessica,Wong,jessica.wong125@hotmail.com,205-493-2966,2025-08-17,standard,Christopherville,HI,18796.61
C000126,Tina,Woods,tina.woods126@gmail.com,046-374-5499,2023-06-26,standard,Desireebury,AR,11457.14
C000127,Elizabeth,Marshall,elizabeth.marshall127@gmail.com,684-145-9332,2025-06-20,new,South Julie,PA,24902.41
C000128,Nathaniel,Miles,nathaniel.miles128@yahoo.com,833-918-7851,2025-11-01,standard,North Mariahaven,ID,5328.86
C000129,Ashley,Hernandez,ashley.hernandez129@yahoo.com,871-397-1870,2025-05-13,standard,New Robert,OK,23331.48
C000130,Brian,Ford,brian.ford130@yahoo.com,064-039-1065,2026-06-01,new,New Virginialand,NJ,21981.76
C000131,Anthony,Ortiz,anthony.ortiz131@gmail.com,656-766-1825,2023-12-10,standard,New Phillip,DC,3943.67
C000132,Jessica,Walker,jessica.walker132@gmail.com,047-868-6337,2024-11-27,vip,West Jacob,FM,17588.5
C000133,Jessica,Rodriguez,jessica.rodriguez133@hotmail.com,690-331-1907,2025-12-23,premium,East Joyfurt,NV,24680.83
C000134,Jimmy,Robinson,jimmy.robinson134@gmail.com,284-395-9953,2024-09-19,premium,Lake Adriana,MT,195.58
C000135,Kevin,Brown,kevin.brown135@hotmail.com,268-705-6856,2025-03-04,vip,West Nicholas,WV,7484.47
C000136,Amanda,Allen,amanda.allen136@gmail.com,427-086-6882,2025-02-01,premium,West James,SD,23473.25
C000137,Christian,Cole,christian.cole137@yahoo.com,183-046-9901,2024-03-27,standard,South Jason,PW,2885.72
C000138,Mason,Krueger,mason.krueger138@gmail.com,331-739-3638,2024-10-20,standard,Oscarside,SD,13830.59
C000139,Michael,Green,michael.green139@hotmail.com,771-753-5560,2025-10-29,standard,Lake Dustin,KS,15120.75
C000140,Angela,Silva,angela.silva140@hotmail.com,642-353-6937,2025-10-11,premium,Jonathanfort,VA,5089.93
C000141,Darlene,Henry,darlene.henry141@gmail.com,522-872-8080,2023-10-02,premium,Port Adamberg,MP,6599.6
C000142,Crystal,Jones,crystal.jones142@gmail.com,038-750-9977,2023-07-03,standard,New Andreatown,AK,22633.41
C000143,Alyssa,Hill,alyssa.hill143@yahoo.com,086-211-8233,2026-01-26,vip,Lisaview,WY,2307.46
C000144,Randy,Watson,randy.watson144@yahoo.com,793-341-0166,2025-01-14,standard,Browntown,UT,6917.01
C000145,George,Porter,george.porter145@yahoo.com,591-803-3974,2023-08-20,standard,Lake Saraside,OK,19277.98
C000146,Dominique,White,dominique.white146@yahoo.com,039-261-4293,2025-11-05,premium,Rhodesside,MA,6548.88
C000147,Patrick,Singh,patrick.singh147@hotmail.com,185-016-3159,2026-01-17,premium,Novakmouth,AK,13792.01
C000148,Cynthia,Bowers,cynthia.bowers148@yahoo.com,735-866-2961,2026-01-24,standard,Laurenland,CO,241.74
C000149,Joseph,James,joseph.james149@hotmail.com,265-511-0475,2024-08-01,standard,East Christopherchester,NV,22077.66
C000150,Angela,Hunt,angela.hunt150@gmail.com,015-819-9560,2024-09-04,new,Hughesland,VA,13639.76
C000151,Rachel,Stein,rachel.stein151@gmail.com,982-622-4447,2024-01-21,vip,East Ryanchester,ME,14562.74
C000152,Todd,Jones,todd.jones152@yahoo.com,379-937-1240,2025-02-12,standard,Meaganfurt,AS,3186.14
C000153,Michelle,Alexander,michelle.alexander153@yahoo.com,924-593-7526,2024-10-16,standard,Jessicafort,OK,22474.54
C000154,Kimberly,Nguyen,kimberly.nguyen154@yahoo.com,651-939-8280,2025-05-26,premium,South Lauren,MP,21517.56
C000155,Heather,Fuentes,heather.fuentes155@yahoo.com,724-342-6617,2025-12-23,new,Aguilarside,NY,5251.91
C000156,Sandra,Kane,sandra.kane156@yahoo.com,805-891-1352,2026-03-10,standard,New Tonyafurt,WV,2569.84
C000157,Martin,Hogan,martin.hogan157@gmail.com,014-388-8993,2025-05-01,premium,Petershire,UT,22103.37
C000158,Vincent,Cooper,vincent.cooper158@gmail.com,714-611-2545,2025-05-16,standard,New Timothy,NJ,15516.54
C000159,Connor,Bowen,connor.bowen159@yahoo.com,514-010-5123,2025-08-18,standard,New Ethan,OH,23247.03
C000160,Ronald,Murray,ronald.murray160@yahoo.com,226-609-3796,2025-02-02,new,Lake Jasonview,WV,24405.15
C000161,Jane,Flynn,jane.flynn161@hotmail.com,182-553-7147,2025-09-05,vip,Candicefurt,OR,22035.41
C000162,Danny,Bell,danny.bell162@yahoo.com,924-991-2513,2024-09-25,standard,East Nathanielberg,NY,18414.11
C000163,Paul,Carlson,paul.carlson163@hotmail.com,662-782-8274,2024-01-12,standard,West Megan,RI,23270.4
C000164,Brian,Howard,brian.howard164@gmail.com,723-688-7676,2025-04-28,vip,Jacksonshire,AK,21601.6
C000165,Laura,Walker,laura.walker165@gmail.com,438-427-9788,2023-12-01,vip,West Kimberlystad,ND,6670.14
C000166,Lynn,Williams,lynn.williams166@hotmail.com,783-613-4074,2024-12-01,premium,South Michelleville,WI,2702.39
C000167,Lisa,Clark,lisa.clark167@hotmail.com,959-629-2330,2025-11-10,new,Amandaside,GA,21464.83
C000168,Mario,Padilla,mario.padilla168@yahoo.com,948-126-0422,2024-06-30,standard,Lake Marc,IA,20414.67
C000169,Kathleen,Lowe,kathleen.lowe169@yahoo.com,294-667-1168,2024-08-14,standard,Shawnfort,MD,7629.77
C000170,Brandi,Melton,brandi.melton170@hotmail.com,175-186-3637,2024-07-30,premium,Mariamouth,OH,5689.89
C000171,Becky,Knight,becky.knight171@yahoo.com,500-170-1277,2023-06-10,standard,Harrisberg,FM,4828.24
C000172,Debra,Moore,debra.moore172@yahoo.com,154-152-0643,2025-04-05,standard,Lake Codyborough,NJ,21608.82
C000173,Christian,Wheeler,christian.wheeler173@hotmail.com,700-516-2713,2025-01-24,new,Lake Lindaville,MD,6978.12
C000174,Michael,Evans,michael.evans174@yahoo.com,221-890-9275,2024-05-04,premium,South Christina,NV,9991.96
C000175,Michelle,Miller,michelle.miller175@gmail.com,219-656-5234,2026-03-06,new,East Angelaport,WI,13405.39
C000176,Shelly,Johnson,shelly.johnson176@hotmail.com,438-983-6403,2025-07-16,new,Rodriguezfort,SC,2883.54
C000177,Brittney,Rice,brittney.rice177@gmail.com,552-696-5827,2023-09-30,new,New Carlosview,IL,4464.2
C000178,Bill,Brown,bill.brown178@yahoo.com,848-666-1889,2024-02-01,new,Christopherland,NY,6636.66
C000179,Samantha,Mccann,samantha.mccann179@gmail.com,856-914-6303,2023-10-20,standard,Wilsonton,ME,10864.09
C000180,Elizabeth,Barrett,elizabeth.barrett180@gmail.com,102-027-5884,2024-02-23,premium,Davidview,VA,7841.93
C000181,Olivia,Wise,olivia.wise181@gmail.com,564-814-9177,2025-08-10,premium,Brianshire,GA,12785.58
C000182,Michael,Scott,michael.scott182@gmail.com,913-800-0307,2024-12-25,standard,Moraburgh,PR,14414.7
C000183,Austin,Pratt,austin.pratt183@hotmail.com,635-365-4195,2023-12-11,standard,East Jeffreyhaven,AZ,17719.63
C000184,Stephanie,Jones,stephanie.jones184@yahoo.com,445-187-0534,2025-10-31,standard,Jodibury,NH,23139.38
C000185,Micheal,Bonilla,micheal.bonilla185@gmail.com,832-060-3850,2024-11-10,standard,Port Dianeport,CT,17985.75
C000186,Jamie,Bird,jamie.bird186@yahoo.com,702-410-3865,2025-05-21,premium,New Codyberg,SC,16765.71
C000187,Lori,Jones,lori.jones187@hotmail.com,062-344-5655,2025-05-12,standard,Jesusborough,DC,1749.35
C000188,Kimberly,Richards,kimberly.richards188@gmail.com,127-756-1853,2025-05-11,premium,Stevenville,CO,8255.0
C000189,Eric,Parks,eric.parks189@hotmail.com,903-521-3568,2023-08-24,standard,Jorgeburgh,AK,21200.38
C000190,Stephanie,Bond,stephanie.bond190@hotmail.com,831-712-1003,2023-12-29,premium,Port Richard,TX,7508.06
C000191,Crystal,Newman,crystal.newman191@hotmail.com,941-013-7215,2023-12-16,standard,South Brentshire,NE,10209.82
C000192,Lorraine,Foster,lorraine.foster192@gmail.com,662-532-4472,2023-08-01,standard,Lake Kenneth,MT,7391.38
C000193,Nicole,Mendoza,nicole.mendoza193@gmail.com,462-638-3806,2024-12-17,standard,Stephensfort,MI,10511.16
C000194,Roberta,Shaw,roberta.shaw194@yahoo.com,420-593-0407,2025-09-08,new,Katiebury,GA,16932.95
C000195,Craig,Sandoval,craig.sandoval195@yahoo.com,803-965-2239,2024-10-15,new,Robintown,VT,15387.87
C000196,Jackie,Meza,jackie.meza196@hotmail.com,293-784-2701,2023-09-04,standard,New Jeffery,NC,13698.43
C000197,Timothy,Rivera,timothy.rivera197@hotmail.com,325-250-0292,2023-11-28,standard,Susanstad,VT,7172.84
C000198,Sheri,Foster,sheri.foster198@gmail.com,545-226-7528,2026-05-21,standard,Jeffreyshire,GU,14499.62
C000199,Gregory,Parker,gregory.parker199@hotmail.com,422-096-9029,2024-10-15,premium,Lake Ariana,NM,11624.7
C000200,Donald,Mcgee,donald.mcgee200@gmail.com,552-157-0433,2026-05-20,standard,West Jonathanville,VA,5342.54
C000201,Aaron,Cruz,aaron.cruz201@hotmail.com,626-765-8617,2025-11-22,standard,East Shannon,AS,22529.52
C000202,Megan,Phillips,megan.phillips202@yahoo.com,411-526-2181,2024-11-14,premium,Bushchester,SD,4242.28
C000203,Frederick,Preston,frederick.preston203@gmail.com,015-336-8844,2024-09-12,standard,North Brandon,OK,12886.3
C000204,Andrea,Henry,andrea.henry204@gmail.com,506-149-7310,2024-04-25,premium,Lake Kelly,CO,8379.71
C000205,Thomas,Wilson,thomas.wilson205@yahoo.com,774-186-2565,2024-03-24,vip,Williamsmouth,NH,18778.45
C000206,Jose,Hood,jose.hood206@hotmail.com,021-158-6938,2023-09-11,premium,Cardenaschester,ND,5616.02
C000207,Gloria,Mayer,gloria.mayer207@hotmail.com,374-160-8989,2026-04-26,standard,North Stacy,NV,610.63
C000208,Gerald,Joyce,gerald.joyce208@gmail.com,320-616-3294,2024-10-17,standard,North Paulfurt,OH,11878.41
C000209,Mark,Hill,mark.hill209@yahoo.com,099-861-6229,2025-12-08,vip,North Annaville,WY,1820.71
C000210,Justin,Nichols,justin.nichols210@yahoo.com,646-799-7024,2025-02-23,standard,New Charlotte,UT,15744.13
C000211,Richard,Foster,richard.foster211@yahoo.com,307-450-5444,2025-07-11,standard,Port Jeremyport,WA,17408.86
C000212,Scott,Petersen,scott.petersen212@yahoo.com,691-373-6785,2023-09-04,standard,North Larry,NY,6099.61
C000213,Richard,Deleon,richard.deleon213@hotmail.com,902-330-3070,2024-12-19,premium,West Micheal,NH,138.62
C000214,William,Reid,william.reid214@gmail.com,035-797-2798,2024-12-03,premium,Frankview,WA,19251.15
C000215,Mariah,Davis,mariah.davis215@gmail.com,602-933-3346,2025-08-14,standard,Port Kimberlytown,NJ,10628.65
C000216,Rhonda,Holland,rhonda.holland216@hotmail.com,034-944-6657,2024-07-04,standard,South Kevin,NC,23949.15
C000217,Madison,Sanders,madison.sanders217@gmail.com,085-899-4417,2023-09-16,standard,Vanessamouth,VI,1255.46
C000218,Joshua,Douglas,joshua.douglas218@hotmail.com,432-830-9652,2023-07-18,standard,Brightview,PW,21208.41
C000219,Robert,Price,robert.price219@gmail.com,993-538-7584,2024-02-28,standard,West Connor,DC,20035.42
C000220,Joyce,Hardy,joyce.hardy220@hotmail.com,251-353-4655,2024-07-17,premium,Stevenville,NJ,24697.31
C000221,Brian,Walters,brian.walters221@hotmail.com,917-381-6846,2023-08-31,premium,East Victoria,MA,23750.99
C000222,Robert,Hudson,robert.hudson222@yahoo.com,252-175-2500,2025-05-11,new,Jasonburgh,OK,15316.31
C000223,Kathy,Burns,kathy.burns223@gmail.com,296-666-7600,2025-09-15,premium,Lake Nathan,AL,12619.45
C000224,Patricia,Sherman,patricia.sherman224@hotmail.com,300-335-4216,2025-07-29,vip,Garyton,ME,13696.8
C000225,Stacy,Bryant,stacy.bryant225@hotmail.com,985-625-7532,2025-02-24,new,East Jeffreyberg,IL,18591.39
C000226,Jessica,Lawrence,jessica.lawrence226@gmail.com,150-648-9090,2026-04-02,standard,Lake Maryton,UT,6479.79
C000227,Darrell,Wallace,darrell.wallace227@gmail.com,847-230-4618,2024-08-01,standard,South Maria,CT,15941.54
C000228,William,Williamson,william.williamson228@yahoo.com,117-393-4835,2026-06-05,premium,Phillipston,OH,13032.5
C000229,Tyler,Clark,tyler.clark229@yahoo.com,530-011-9721,2025-08-11,premium,Lake Jenniferview,SD,6864.94
C000230,Jerry,Hinton,jerry.hinton230@yahoo.com,470-120-4556,2023-12-06,standard,Port Katherineton,AL,7143.2
