record_id,source_system,first_name,last_name,email,email_id,phone,phone_id,address_id,dob,ground_truth_id,account_status
R0000112,CRM,Kele,Alexander,kyle.alexander56@hotmail.com,EM000056,4714345581,PH000056,AD000056,1970-07-09,56,active
R0000115,CRM,Julie,Morgan,julie.morgan57@gmail.com,EM000057,+12236231665,PH000057,AD000057,1993-11-21,57,lapsed
R0000116,CRM,Shelby,Rodriguez,shelby.rodriguez58@gmail.com,EM000058,876-036-6909,PH000058,AD000058,1966-05-31,58,active
R0000119,CRM,Paige,Taylor,paige.taylor59@yahoo.com,EM000059,+16705466889,PH000059,AD000059,1980-09-11,59,vip
R0000122,CRM,Casey,Hubbard,casey.hubbard61@gmail.com,EM000061,272-980-6990,PH000061,AD000061,1959-05-28,61,lapsed
R0000123,CRM,Alexis,Tyler,alexis.tyler62@gmail.com,EM000062,162-720-4653,PH000062,AD000062,1985-12-02,62,active
R0000127,CRM,Robert,Davis,robert.davis65@yahoo.com,EM000065,9232719374,PH000065,AD000065,1988-08-26,65,vip
R0000130,CRM,Anna,Santiago,anna.santiago66@yahoo.com,EM000066,529-912-4190,PH000066,AD000066,1989-07-03,66,lapsed
R0000132,CRM,Jeremy,Patterson,jeremy.patterson67@hotmail.com,EM000067,4966319314,PH000067,AD000067,1988-12-21,67,lapsed
R0000136,CRM,Diane,Jones,diane.jones68@hotmail.com,EM000068,(919) 058-6518,PH000068,AD000068,1954-01-06,68,vip
R0000139,CRM,Erib,Webster,eric.webster69@gmail.com,EM000069,(506) 716-5726,PH000069,AD000069,1990-10-19,69,active
R0000142,CRM,Tyler,Jordan,tyler.jordan71@gmail.com,EM000071,531-473-7996,PH000071,AD000071,1998-09-19,71,active
R0000147,CRM,Charles,Bean,charles.bean74@hotmail.com,EM000074,783-777-0143,PH000074,AD000074,1990-09-06,74,active
R0000150,CRM,Brian,Romero,brian.romero75@yahoo.com,EM000075,6349578856,PH000075,AD000075,1953-03-24,75,active
R0000151,CRM,Shannon,Pacheco,shannon.pacheco76@hotmail.com,EM000076,(855) 744-4313,PH000076,AD000076,1962-03-06,76,lapsed
R0000154,CRM,Benjamin,Zimmerman,benjamin.zimmerman77@yahoo.com,EM000077,(518) 233-7498,PH000077,AD000077,1976-09-28,77,vip
R0000156,CRM,Dawn,Murphy,dawn.murphy79@gmail.com,EM000079,+18240084271,PH000079,AD000079,1965-11-07,79,active
R0000160,CRM,Zoe,Moore,zoe.moore80@yahoo.com,EM000080,(094) 777-5204,PH000080,AD000080,1997-08-01,80,vip
R0000164,CRM,Erika,Hudson,erika.hudson82@yahoo.com,EM000082,(941) 318-6999,PH000082,AD000082,1958-12-02,82,lapsed
R0000166,CRM,Justin,Hines,justin.hines83@yahoo.com,EM000083,(386) 774-9649,PH000083,AD000083,1952-05-09,83,lapsed
R0000169,CRM,ganiel,Roberts,daniel.roberts85@yahoo.com,EM000085,281-206-7974,PH000085,AD000085,1970-04-04,85,lapsed
R0000172,CRM,Ruben,Mendez,ruben.mendez86@gmail.com,EM000086,0344713493,PH000086,AD000086,,86,vip
R0000176,CRM,Courtney,Ingral,courtney.ingram87@hotmail.com,EM000087,+16183242102,PH000087,AD000087,1971-11-30,87,lapsed
R0000179,CRM,Heather,Richardson,heather.richardson89@hotmail.com,EM000089,8877190659,PH000089,AD000089,1953-04-26,89,vip
R0000182,CRM,Antonio,Hernandez,antonio.hernandez91@yahoo.com,EM000091,(278) 742-9671,PH000091,AD000091,1958-06-13,91,active
R0000185,CRM,Elizabeth,Mckinney,elizabeth.mckinney93@hotmail.com,EM000093,(468) 071-5451,PH000093,AD000093,1959-04-08,93,active
R0000188,CRM,Cheryl,Miller,cheryl.miller94@yahoo.com,EM000094,6808760385,PH000094,AD000094,1993-12-22,94,lapsed
R0000190,CRM,Briana,Saunders,briana.saunders95@gmail.com,EM000095,+19770348247,PH000095,AD000095,1987-12-03,95,active
R0000192,CRM,Joshua,Weber,joshua.weber96@hotmail.com,EM000096,710-932-4808,PH000096,AD000096,1955-12-18,96,active
R0000197,CRM,Scott,Washington,scott.washington98@gmail.com,EM000098,467-737-8263,PH000098,AD000098,1967-04-23,98,active
R0000200,CRM,Donald,Williams,donald.williams99@yahoo.com,EM000099,9821465840,PH000099,AD000099,1965-01-28,99,active
R0000205,CRM,Vincent,Williams,vincent.williams102@gmail.com,EM000102,+13605766270,PH000102,AD000102,1986-08-30,102,lapsed
R0000209,CRM,Brett,Castillo,brett.castillo104@hotmail.com,EM000104,+12621745961,PH000104,AD000104,1985-09-24,104,active
R0000212,CRM,Jared,Nguyen,jared.nguyen105@hotmail.com,EM000105,+15865780913,PH000105,AD000105,1970-09-09,105,vip
R0000216,CRM,Kellie,Bush,kellie.bush106@hotmail.com,EM000106,(431) 611-7240,PH000106,AD000106,1995-01-28,106,lapsed
R0000218,CRM,Jonathan,Mendoza,jonathan.mendoza107@gmail.com,EM000107,050-455-6238,PH000107,AD000107,1959-10-16,107,active
R0000222,CRM,Stephen,Scott,stephen.scott110@gmail.com,EM000110,4821759464,PH000110,AD000110,1977-09-17,110,active
R0000224,CRM,Elizabeth,Lopez,elizabeth.lopez111@gmail.com,EM000111,+17436713695,PH000111,AD000111,1958-06-25,111,active
R0000225,CRM,Steven,Moore,steven.moore112@hotmail.com,EM000112,(944) 064-0909,PH000112,AD000112,,112,vip
R0000231,CRM,Edward,Murphy,edward.murphy114@hotmail.com,EM000114,1047095214,PH000114,AD000114,1977-05-19,114,vip
R0000232,CRM,Jonathan,Smith,jonathan.smith115@gmail.com,EM000115,562-328-5884,PH000115,AD000115,2000-01-24,115,vip
R0000237,CRM,Amy,Patel,amy.patel117@gmail.com,EM000117,685-160-4817,PH000117,AD000117,1955-01-06,117,lapsed
R0000239,CRM,Craig,Johnson,craig.johnson118@hotmail.com,EM000118,5496513709,PH000118,AD000118,1989-08-22,118,vip
R0000242,CRM,Luis,Harper,luis.harper119@hotmail.com,EM000119,(859) 317-4612,PH000119,AD000119,1972-02-16,119,active
R0000243,CRM,Heather,Russell,heather.russell120@yahoo.com,EM000120,004-711-3826,PH000120,AD000120,1994-06-11,120,vip
R0000247,CRM,Jay,Clark,jay.clark122@yahoo.com,EM000122,+16405377351,PH000122,AD000122,1982-02-23,122,lapsed
R0000250,CRM,Corey,Zavala,corey.zavala123@yahoo.com,EM000123,5850643171,PH000123,AD000123,1976-04-13,123,lapsed
R0000253,CRM,Ashley,Sanchez,ashley.sanchez124@hotmail.com,EM000124,(390) 053-2931,PH000124,AD000124,1978-07-02,124,vip
R0000256,CRM,Derrick,Mccoy,derrick.mccoy125@gmail.com,EM000125,(839) 335-2904,PH000125,AD000125,1999-08-01,125,vip
R0000261,CRM,Ariel,Hodge,ariel.hodge128@gmail.com,EM000128,117-758-9178,PH000128,AD000128,1990-05-20,128,lapsed
R0000267,CRM,Angela,Bennett,angela.bennett131@gmail.com,EM000131,(249) 985-6984,PH000131,AD000131,1968-10-17,131,vip
R0000270,CRM,Curtis,Miller,curtis.miller132@yahoo.com,EM000132,7896118367,PH000132,AD000132,1999-10-06,132,vip
R0000272,CRM,Todd,Jones,todd.jones134@yahoo.com,EM000134,4527111161,PH000134,AD000134,1976-04-15,134,vip
R0000276,CRM,Linda,Rivera,linda.rivera135@yahoo.com,EM000135,5280988516,PH000135,AD000135,1993-07-03,135,lapsed
R0000278,CRM,Travis,Johnston,travis.johnston136@gmail.com,EM000136,5604945198,PH000136,AD000136,1955-02-21,136,lapsed
R0000283,CRM,Daniblle,jiller,danielle.miller138@gmail.com,EM000138,(936) 899-8094,PH000138,AD000138,1990-06-28,138,vip
R0000287,CRM,Bradley,Page,bradley.page140@gmail.com,EM000140,(612) 018-3667,PH000140,AD000140,1952-06-03,140,lapsed
R0000290,CRM,Jo,Ware,jo.ware141@yahoo.com,EM000141,+15254599102,PH000141,AD000141,1971-10-06,141,lapsed
R0000292,CRM,Candice,Carr,candice.carr142@hotmail.com,EM000142,290-147-6797,PH000142,AD000142,1958-05-24,142,lapsed
R0000294,CRM,Isaac,Steele,isaac.steele143@hotmail.com,EM000143,6438156149,PH000143,AD000143,1992-08-02,143,active
R0000298,CRM,Amanda,Jackson,amanda.jackson145@yahoo.com,EM000145,4324451076,PH000145,AD000145,,145,vip
R0000299,CRM,Kenneth,Kidd,kenneth.kidd146@yahoo.com,EM000146,2268388516,PH000146,AD000146,1989-03-25,146,vip
R0000303,CRM,Mcchael,Campbell,michael.campbell147@hotmail.com,EM000147,060-715-9696,PH000147,AD000147,1959-01-26,147,vip
R0000306,CRM,Jacaueline,Anderson,jacqueline.anderson148@gmail.com,EM000148,6416052975,PH000148,AD000148,1950-08-09,148,vip
R0000309,CRM,Mlsty,Boone,misty.boone149@gmail.com,EM000149,(161) 369-6816,PH000149,AD000149,1983-06-19,149,lapsed
R0000315,CRM,Karina,Patterson,karina.patterson152@gmail.com,EM000152,9212779979,PH000152,AD000152,1997-08-31,152,vip
R0000316,CRM,David,Jones,david.jones153@yahoo.com,EM000153,9552717744,PH000153,AD000153,1960-02-27,153,vip
R0000319,CRM,Casey,Elliott,casey.elliott154@hotmail.com,EM000154,905-814-7700,PH000154,AD000154,1974-05-11,154,vip
R0000324,CRM,William,Adkins,william.adkins156@yahoo.com,EM000156,(807) 935-9782,PH000156,AD000156,1979-01-28,156,lapsed
R0000327,CRM,Jacqueline,Miller,jacqueline.miller158@hotmail.com,EM000158,(788) 925-5466,PH000158,AD000158,1980-03-16,158,active
R0000330,CRM,Jessica,Mathis,jessica.mathis159@gmail.com,EM000159,5905151864,PH000159,AD000159,1951-03-18,159,active
R0000332,CRM,Garrett,Moore,garrett.moore161@gmail.com,EM000161,2914865281,PH000161,AD000161,1988-01-22,161,active
R0000335,CRM,Linda,Klein,linda.klein162@hotmail.com,EM000162,(685) 054-2357,PH000162,AD000162,1971-07-31,162,vip
R0000337,CRM,Mark,Tran,mark.tran163@gmail.com,EM000163,(332) 214-1888,PH000163,AD000163,1997-08-17,163,vip
R0000341,CRM,Terri,Miller,terri.miller165@gmail.com,EM000165,2706537947,PH000165,AD000165,,165,vip
R0000343,CRM,Joseph,Wilson,joseph.wilson167@gmail.com,EM000167,+14688623924,PH000167,AD000167,,167,active
R0000345,CRM,Anlela,Pierce,angela.pierce168@gmail.com,EM000168,075-818-1412,PH000168,AD000168,1963-11-23,168,vip
R0000347,CRM,Rachel,Ramos,rachel.ramos169@gmail.com,EM000169,+14782613750,PH000169,AD000169,1962-03-13,169,active
R0000349,CRM,Michael,Odonnell,michael.odonnell170@yahoo.com,EM000170,(606) 853-6153,PH000170,AD000170,1986-03-21,170,lapsed
R0000353,CRM,Kathryn,Gould,kathryn.gould173@hotmail.com,EM000173,986-143-4103,PH000173,AD000173,1987-04-30,173,lapsed
R0000355,CRM,Brian,Hernandez,brian.hernandez175@hotmail.com,EM000175,932-460-9539,PH000175,AD000175,,175,active
R0000359,CRM,Aaron,Cruz,aaron.cruz178@hotmail.com,EM000178,153-195-2058,PH000178,AD000178,1973-09-11,178,lapsed
R0000360,CRM,Geomge,Bennett,george.bennett179@hotmail.com,EM000179,(527) 722-1704,PH000179,AD000179,1957-04-29,179,active
R0000362,CRM,Mark,Mccann,mark.mccann180@yahoo.com,EM000180,+13030548687,PH000180,AD000180,1952-03-09,180,active
R0000367,CRM,Tammy,Mcdaniel,tammy.mcdaniel183@yahoo.com,EM000183,4161692845,PH000183,AD000183,1959-01-09,183,active
R0000369,CRM,Robert,Hernandez,robert.hernandez185@hotmail.com,EM000185,5705964016,PH000185,AD000185,1969-03-06,185,vip
R0000371,CRM,Richard,Montgomery,richard.montgomery186@hotmail.com,EM000186,582-029-7021,PH000186,AD000186,1959-08-01,186,lapsed
R0000374,CRM,Kdvin,Manning,kevin.manning187@yahoo.com,EM000187,(355) 690-9275,PH000187,AD000187,1984-12-03,187,lapsed
R0000375,CRM,Richard,Deleon,richard.deleon188@hotmail.com,EM000188,571-928-5654,PH000188,AD000188,1977-06-13,188,vip
R0000390,CRM,Christina,Schultz,christina.schultz197@yahoo.com,EM000197,2535841438,PH000197,AD000197,1971-09-04,197,vip
R0000392,CRM,Jeremy,Acosta,jeremy.acosta199@gmail.com,EM000199,+12299590010,PH000199,AD000199,1992-11-03,199,vip
R0000395,CRM,Brfndon,Vang,brandon.vang200@hotmail.com,EM000200,9439690784,PH000200,AD000200,1997-02-06,200,lapsed
R0000398,CRM,Crystal,Turner,crystal.turner201@hotmail.com,EM000201,4736471027,PH000201,AD000201,1991-11-17,201,lapsed
R0000402,CRM,Rebecca,Conley,rebecca.conley203@hotmail.com,EM000203,6258815371,PH000203,AD000203,1996-06-28,203,active
R0000403,CRM,Larry,Rodgers,larry.rodgers204@gmail.com,EM000204,473-210-4696,PH000204,AD000204,1977-09-03,204,active
R0000405,CRM,Suzanne,Nelson,suzanne.nelson205@yahoo.com,EM000205,+13259532787,PH000205,AD000205,1999-12-05,205,active
R0000406,CRM,Tenesa,Anderson,teresa.anderson206@yahoo.com,EM000206,7470168733,PH000206,AD000206,1997-04-09,206,active
R0000409,CRM,Jackie,Davis,jackie.davis207@hotmail.com,EM000207,950-047-9748,PH000207,AD000207,1983-11-22,207,active
R0000413,CRM,Malik,Rivera,malik.rivera208@yahoo.com,EM000208,016-245-6506,PH000208,AD000208,1984-05-10,208,lapsed
R0000417,CRM,Stephen,Petedson,stephen.peterson210@gmail.com,EM000210,+17849912165,PH000210,AD000210,1974-08-09,210,vip
R0000422,CRM,Stephen,Harrington,stephen.harrington212@hotmail.com,EM000212,002-578-7298,PH000212,AD000212,1962-06-30,212,active
R0000424,CRM,Heather,Thompson,heather.thompson213@gmail.com,EM000213,259-526-9495,PH000213,AD000213,1981-04-02,213,vip
R0000427,CRM,Linda,Taylor,linda.taylor214@hotmail.com,EM000214,+18887947055,PH000214,AD000214,1990-02-04,214,active
R0000429,CRM,Ashley,Contreras,ashley.contreras215@yahoo.com,EM000215,(169) 409-7499,PH000215,AD000215,1997-06-06,215,active
R0000432,CRM,Kristen,Harris,kristen.harris216@hotmail.com,EM000216,3097289623,PH000216,AD000216,1953-08-19,216,lapsed
R0000436,CRM,Sara,Hughes,sara.hughes217@hotmail.com,EM000217,091-307-5626,PH000217,AD000217,1980-12-23,217,lapsed
R0000440,CRM,Abigail,Hartman,abigail.hartman220@gmail.com,EM000220,549-733-4843,PH000220,AD000220,1994-08-15,220,active
R0000441,CRM,Alan,Caldwell,alan.caldwell221@yahoo.com,EM000221,443-757-5844,PH000221,AD000221,1987-03-14,221,active
R0000446,CRM,Cameron,Santiago,cameron.santiago223@gmail.com,EM000223,157-473-3848,PH000223,AD000223,1965-12-05,223,lapsed
R0000450,CRM,Rhonda,Russell,rhonda.russell224@yahoo.com,EM000224,421-993-3083,PH000224,AD000224,1970-12-11,224,lapsed
R0000453,CRM,Ashley,Long,ashley.long226@hotmail.com,EM000226,267-734-5401,PH000226,AD000226,1954-02-19,226,active
R0000456,CRM,Melissa,Rnndolph,melissa.randolph227@hotmail.com,EM000227,+19380262067,PH000227,AD000227,1972-01-23,227,lapsed
R0000460,CRM,Dennis,Quann,dennis.quinn229@yahoo.com,EM000229,7887287431,PH000229,AD000229,1999-12-09,229,active
R0000461,CRM,Charles,Smmth,charles.smith230@hotmail.com,EM000230,527-420-5493,PH000230,AD000230,1960-07-20,230,active
R0000465,CRM,Michael,Walker,michael.walker231@hotmail.com,EM000231,+12966851612,PH000231,AD000231,1995-04-23,231,vip
R0000467,CRM,Tina,Nguyen,tina.nguyen233@hotmail.com,EM000233,549-904-5301,PH000233,AD000233,1974-06-14,233,vip
R0000469,CRM,Lisa,Reed,lisa.reed234@yahoo.com,EM000234,(742) 684-1459,PH000234,AD000234,1991-05-28,234,vip
R0000470,CRM,Jennifer,Wilson,jennifer.wilson235@gmail.com,EM000235,332-727-9568,PH000235,AD000235,1985-04-27,235,vip
R0000473,CRM,Benjamin,Armstrong,benjamin.armstrong236@gmail.com,EM000236,+17833918785,PH000236,AD000236,1982-07-08,236,vip
R0000475,CRM,Michelle,Jackson,michelle.jackson237@yahoo.com,EM000237,1910883982,PH000237,AD000237,,237,active
R0000478,CRM,Nancy,Wolfe,nancy.wolfe239@yahoo.com,EM000239,(707) 286-7908,PH000239,AD000239,1987-06-09,239,vip
R0000483,CRM,Raymond,Taylor,raymond.taylor242@hotmail.com,EM000242,226-567-6618,PH000242,AD000242,1993-09-15,242,vip
R0000488,CRM,Brenda,Holmes,brenda.holmes245@hotmail.com,EM000245,5243106903,PH000245,AD000245,1989-07-23,245,lapsed
R0000490,CRM,Adam,Thompson,adam.thompson246@hotmail.com,EM000246,+13119079030,PH000246,AD000246,1980-07-26,246,lapsed
R0000494,CRM,Tammy,Hart,tammy.hart247@gmail.com,EM000247,(673) 830-2843,PH000247,AD000247,1967-05-01,247,lapsed
R0000497,CRM,Justin,Rohs,justin.ross248@hotmail.com,EM000248,959-953-4283,PH000248,AD000248,1966-01-12,248,vip
R0000501,CRM,Leslie,Smith,leslie.smith251@hotmail.com,EM000251,2873342708,PH000251,AD000251,1975-05-04,251,lapsed
R0000506,CRM,Thomas,Smith,thomas.smith253@yahoo.com,EM000253,+11751830469,PH000253,AD000253,1956-12-27,253,vip
R0000508,CRM,Shannon,Cook,shannon.cook254@yahoo.com,EM000254,+19013983735,PH000254,AD000254,1985-03-04,254,lapsed
R0000512,CRM,Tony,Dhyle,tony.doyle255@gmail.com,EM000255,4033173936,PH000255,AD000255,1994-11-15,255,vip
R0000514,CRM,Kelly,Adams,kelly.adams256@hotmail.com,EM000256,+13854678544,PH000256,AD000256,1982-08-21,256,active
R0000516,CRM,Amy,Johnson,amy.johnson257@yahoo.com,EM000257,587-717-5355,PH000257,AD000257,1962-01-17,257,active
R0000519,CRM,Anthony,Alvarado,anthony.alvarado258@yahoo.com,EM000258,(609) 320-4899,PH000258,AD000258,1983-03-19,258,vip
R0000524,CRM,Gail,Mitchell,gail.mitchell261@hotmail.com,EM000261,872-808-0100,PH000261,AD000261,1951-12-11,261,lapsed
R0000525,CRM,Jacob,Garcia,jacob.garcia262@yahoo.com,EM000262,+16231203875,PH000262,AD000262,1975-09-17,262,lapsed
R0000527,CRM,Steven,Moody,steven.moody263@yahoo.com,EM000263,(099) 770-0886,PH000263,AD000263,1967-05-18,263,active
R0000530,CRM,Paul,Proctor,paul.proctor264@gmail.com,EM000264,008-484-0862,PH000264,AD000264,1985-11-19,264,vip
R0000533,CRM,David,Olson,david.olson265@yahoo.com,EM000265,(118) 233-9845,PH000265,AD000265,1951-01-16,265,active
R0000537,CRM,Tony,Stewart,tony.stewart267@hotmail.com,EM000267,1016668700,PH000267,AD000267,1972-06-18,267,active
R0000540,CRM,Jessica,Hill,jessica.hill268@hotmail.com,EM000268,217-659-1803,PH000268,AD000268,1992-08-22,268,vip
R0000542,CRM,Jmhn,Le,john.le269@hotmail.com,EM000269,397-401-4890,PH000269,AD000269,1964-03-09,269,vip
R0000545,CRM,hharon,Perry,sharon.perry271@yahoo.com,EM000271,(939) 685-6218,PH000271,AD000271,1986-08-13,271,vip
R0000546,CRM,Poul,Lee,paul.lee272@hotmail.com,EM000272,501-631-5999,PH000272,AD000272,,272,lapsed
R0000553,CRM,Katie,Howe,katie.howe274@yahoo.com,EM000274,(629) 619-4311,PH000274,AD000274,1969-03-19,274,active
R0000561,CRM,Christopher,Shaw,christopher.shaw279@hotmail.com,EM000279,+13982622444,PH000279,AD000279,1972-06-11,279,active
R0000564,CRM,Gail,oohnston,gail.johnston280@gmail.com,EM000280,(721) 264-6471,PH000280,AD000280,,280,lapsed
R0000566,CRM,Gina,Moore,gina.moore281@hotmail.com,EM000281,5437993712,PH000281,AD000281,2000-10-17,281,lapsed
R0000567,CRM,Amanda,Harris,amanda.harris282@hotmail.com,EM000282,(406) 596-5756,PH000282,AD000282,,282,active
R0000568,CRM,Sierrh,Joies,sierra.jones283@hotmail.com,EM000283,+19245937526,PH000283,AD000283,,283,lapsed
R0000571,CRM,Vincent,Ellis,vincent.ellis284@hotmail.com,EM000284,+15479356465,PH000284,AD000284,1966-07-05,284,lapsed
R0000578,CRM,Amber,Mcbride,amber.mcbride287@gmail.com,EM000287,(661) 797-9688,PH000287,AD000287,1972-02-15,287,active
R0000583,CRM,Katherine,Jones,katherine.jones290@yahoo.com,EM000290,438-889-9375,PH000290,AD000290,1967-02-27,290,vip
R0000585,CRM,April,Foster,april.foster291@hotmail.com,EM000291,679-825-0714,PH000291,AD000291,1979-03-09,291,lapsed
R0000586,CRM,Kelly,Ellison,kelly.ellison292@hotmail.com,EM000292,(611) 254-5738,PH000292,AD000292,1962-08-11,292,lapsed
R0000591,CRM,Ariana,Keller,ariana.keller294@gmail.com,EM000294,1051238282,PH000294,AD000294,1951-04-08,294,active
R0000595,CRM,Victoria,Martgn,victoria.martin297@yahoo.com,EM000297,419-182-5537,PH000297,AD000297,,297,active
R0000596,CRM,Dennis,Neal,dennis.neal298@yahoo.com,EM000298,1478596969,PH000298,AD000298,1989-07-29,298,lapsed
R0000598,CRM,Wanda,Gomez,wanda.gomez299@gmail.com,EM000299,+11557924991,PH000299,AD000299,1973-02-24,299,active
R0000601,CRM,Michael,Shaffer,michael.shaffer300@gmail.com,EM000300,251-341-2528,PH000300,AD000300,1973-08-31,300,active
R0000602,CRM,Randy,Carroll,randy.carroll301@gmail.com,EM000301,(669) 296-6278,PH000301,AD000301,1981-11-27,301,active
R0000607,CRM,Kristen,Gutierrez,kristen.gutierrez302@hotmail.com,EM000302,282-742-2579,PH000302,AD000302,1969-07-09,302,lapsed
R0000609,CRM,Mary,Morgan,mary.morgan303@yahoo.com,EM000303,0507236887,PH000303,AD000303,1968-11-29,303,lapsed
R0000611,CRM,Robert,Crawford,robert.crawford304@gmail.com,EM000304,+16767721903,PH000304,AD000304,1973-07-31,304,lapsed
R0000614,CRM,Sandra,Oconnor,sandra.oconnor305@hotmail.com,EM000305,404-384-2797,PH000305,AD000305,1953-07-29,305,vip
R0000615,CRM,Dakota,Miranda,dakota.miranda306@hotmail.com,EM000306,881-914-8580,PH000306,AD000306,1988-07-08,306,vip
R0000620,CRM,Patridk,Miller,patrick.miller308@yahoo.com,EM000308,(517) 133-9596,PH000308,AD000308,1955-10-13,308,lapsed
R0000624,CRM,Isaac,Staik,isaac.stark310@yahoo.com,EM000310,9825449481,PH000310,AD000310,1957-09-19,310,vip
R0000626,CRM,Mark,Banks,mark.banks311@yahoo.com,EM000311,2604223253,PH000311,AD000311,1987-06-29,311,active
