record_id,source_system,first_name,last_name,email,email_id,phone,phone_id,address_id,dob,ground_truth_id,last_invoice_total,payment_method
R0000056,BILLING,Amy,Morrison,amy.morrison29@gmail.com,EM000029,219-136-1939,PH000029,AD000029,1979-08-09,29,1222.99,paypal
R0000058,BILLING,Derek,Murray,derek.murray30@gmail.com,EM000030,9091699854,PH000030,AD000030,1965-09-11,30,1292.36,ach
R0000059,BILLING,Debra,Harrington,debra.harrington31@hotmail.com,EM000031,+13534624751,PH000031,AD000031,1975-07-16,31,1015.27,paypal
R0000063,BILLING,Gary,Lawson,gary.lawson32@hotmail.com,EM000032,(079) 911-8384,PH000032,AD000032,1966-12-18,32,1586.96,ach
R0000065,BILLING,Curtis,Barton,curtis.barton33@hotmail.com,EM000033,(251) 354-2784,PH000033,AD000033,,33,127.33,ach
R0000067,BILLING,Ryan,Cox,ryan.cox34@yahoo.com,EM000034,+19808412411,PH000034,AD000034,1969-06-01,34,1208.58,card
R0000071,BILLING,Jennifer,Freeman,jennifer.freeman36@gmail.com,EM000036,+17401640052,PH000036,AD000036,1987-11-21,36,878.22,ach
R0000073,BILLING,Marissa,Phillips,marissa.phillips38@yahoo.com,EM000038,(805) 982-6204,PH000038,AD000038,1983-11-03,38,275.99,ach
R0000080,BILLING,Kevin,Oliver,kevin.oliver41@hotmail.com,EM000041,4216073375,PH000041,AD000041,1966-03-10,41,1576.68,paypal
R0000082,BILLING,Kemth,Campbell,keith.campbell42@yahoo.com,EM000042,433-036-5414,PH000042,AD000042,1955-04-18,42,252.01,paypal
R0000086,BILLING,Suzanne,Huhf,suzanne.huff44@hotmail.com,EM000044,+14019655698,PH000044,AD000044,1993-08-19,44,1978.0,paypal
R0000088,BILLING,Lisa,Costa,lisa.costa45@yahoo.com,EM000045,+11693406088,PH000045,AD000045,1977-12-09,45,908.62,card
R0000092,BILLING,Michelle,Bryan,michelle.bryan46@gmail.com,EM000046,(356) 159-5148,PH000046,AD000046,1958-09-13,46,258.77,paypal
R0000095,BILLING,Adthony,Mccoy,anthony.mccoy47@gmail.com,EM000047,+14656482366,PH000047,AD000047,1970-04-19,47,606.52,ach
R0000101,BILLING,Vanessa,Sparko,vanessa.sparks50@hotmail.com,EM000050,2148951343,PH000050,AD000050,1960-03-31,50,1291.83,card
R0000103,BILLING,Robert,Pena,robert.pena51@gmail.com,EM000051,(320) 037-9176,PH000051,AD000051,,51,1316.51,paypal
R0000109,BILLING,Ahdrew,Greer,andrew.greer55@yahoo.com,EM000055,727-743-4873,PH000055,AD000055,1953-02-12,55,770.1,card
R0000113,BILLING,Julie,Morgan,julie.morgan57@gmail.com,EM000057,223-623-1665,PH000057,AD000057,1993-11-21,57,1306.12,card
R0000118,BILLING,Paige,Taylor,paige.taylor59@yahoo.com,EM000059,+16705466889,PH000059,AD000059,1980-09-11,59,1324.55,ach
R0000126,BILLING,Cynthia,Kelley,cynthia.kelley64@yahoo.com,EM000064,8053100330,PH000064,AD000064,1977-07-27,64,392.17,paypal
R0000128,BILLING,Rcbert,Davis,robert.davis65@yahoo.com,EM000065,(923) 271-9374,PH000065,AD000065,1988-08-26,65,1710.96,paypal
R0000129,BILLING,Anna,Santiago,anna.santiago66@yahoo.com,EM000066,+15299124190,PH000066,AD000066,,66,854.23,paypal
R0000134,BILLING,Jeremy,Patterson,jeremy.patterson67@hotmail.com,EM000067,4966319314,PH000067,AD000067,1988-12-21,67,658.45,card
R0000137,BILLING,Diane,Jones,diane.jones68@hotmail.com,EM000068,(919) 058-6518,PH000068,AD000068,1954-01-06,68,1528.2,paypal
R0000141,BILLING,Tyler,Jordan,tyler.jordan71@gmail.com,EM000071,5314737996,PH000071,AD000071,1998-09-19,71,1238.46,ach
R0000144,BILLING,Danielle,Roberts,danielle.roberts72@yahoo.com,EM000072,5075273545,PH000072,AD000072,,72,255.36,paypal
R0000146,BILLING,Monica,Reese,monica.reese73@gmail.com,EM000073,+14948083136,PH000073,AD000073,1995-01-16,73,1035.36,paypal
R0000149,BILLING,Charles,Bean,charles.bean74@hotmail.com,EM000074,+17837770143,PH000074,AD000074,1990-09-06,74,599.26,ach
R0000153,BILLING,dhannon,Pacheco,shannon.pacheco76@hotmail.com,EM000076,855-744-4313,PH000076,AD000076,1962-03-06,76,1262.67,ach
R0000155,BILLING,Justin,Cummdngs,justin.cummings78@hotmail.com,EM000078,(941) 343-5240,PH000078,AD000078,,78,1354.9,ach
R0000157,BILLING,Dawn,Merphy,dawn.murphy79@gmail.com,EM000079,8240084271,PH000079,AD000079,1965-11-07,79,383.36,ach
R0000161,BILLING,Zoe,Moore,zoe.moore80@yahoo.com,EM000080,094-777-5204,PH000080,AD000080,1997-08-01,80,1502.27,ach
R0000163,BILLING,Kellie,Lamb,kellie.lamb81@gmail.com,EM000081,7116719022,PH000081,AD000081,1975-06-20,81,1167.97,card
R0000167,BILLING,Lucas,Garcia,lucas.garcia84@hotmail.com,EM000084,9091334123,PH000084,AD000084,1979-03-29,84,49.44,ach
R0000173,BILLING,Ruben,Mendez,ruben.mendez86@gmail.com,EM000086,(034) 471-3493,PH000086,AD000086,1995-02-25,86,419.75,card
R0000175,BILLING,Courtney,Ingram,courtney.ingram87@hotmail.com,EM000087,(618) 324-2102,PH000087,AD000087,,87,277.9,card
R0000178,BILLING,Sarah,Robertson,sarah.robertson88@hotmail.com,EM000088,4994717464,PH000088,AD000088,1984-03-15,88,1068.98,card
R0000180,BILLING,Heathpr,Riccardson,heather.richardson89@hotmail.com,EM000089,(887) 719-0659,PH000089,AD000089,1953-04-26,89,771.79,card
R0000181,BILLING,Jessica,Buck,jessica.buck90@hotmail.com,EM000090,401-399-0490,PH000090,AD000090,,90,653.54,ach
R0000186,BILLING,Cheryl,Miller,cheryl.miller94@yahoo.com,EM000094,6808760385,PH000094,AD000094,1993-12-22,94,1761.99,ach
R0000193,BILLING,Joshua,ceber,joshua.weber96@hotmail.com,EM000096,+17109324808,PH000096,AD000096,1955-12-18,96,1351.24,ach
R0000194,BILLING,Brandon,May,brandon.may97@hotmail.com,EM000097,(613) 171-2748,PH000097,AD000097,1961-03-12,97,1834.27,ach
R0000196,BILLING,Scott,Washington,scott.washington98@gmail.com,EM000098,+14677378263,PH000098,AD000098,,98,201.03,ach
R0000201,BILLING,Donald,Williams,donald.williams99@yahoo.com,EM000099,9821465840,PH000099,AD000099,1965-01-28,99,477.08,card
R0000202,BILLING,Brandy,Williams,brandy.williams100@yahoo.com,EM000100,449-972-7875,PH000100,AD000100,1963-09-07,100,1337.9,card
R0000206,BILLING,Vincent,Willlams,vincent.williams102@gmail.com,EM000102,(360) 576-6270,PH000102,AD000102,,102,1770.92,ach
R0000208,BILLING,Tracy,Hart,tracy.hart103@yahoo.com,EM000103,+12895171870,PH000103,AD000103,1999-07-12,103,1392.63,paypal
R0000210,BILLING,Brett,Castillo,brett.castillo104@hotmail.com,EM000104,2621745961,PH000104,AD000104,1985-09-24,104,1174.94,card
R0000214,BILLING,Jared,Nguyen,jared.nguyen105@hotmail.com,EM000105,+15865780913,PH000105,AD000105,1970-09-09,105,79.21,ach
R0000215,BILLING,Kellie,Bush,kellie.bush106@hotmail.com,EM000106,+14316117240,PH000106,AD000106,1995-01-28,106,1835.36,card
R0000220,BILLING,Kristin,Lopez,kristin.lopez109@hotmail.com,EM000109,(792) 374-7407,PH000109,AD000109,2000-03-10,109,1935.45,card
R0000221,BILLING,Stephen,Scott,stephen.scott110@gmail.com,EM000110,+14821759464,PH000110,AD000110,1977-09-17,110,1010.59,paypal
R0000223,BILLING,Elizabeth,Lopez,elizabeth.lopez111@gmail.com,EM000111,+17436713695,PH000111,AD000111,1958-06-25,111,514.58,ach
R0000226,BILLING,Steven,Moore,steven.moore112@hotmail.com,EM000112,+19440640909,PH000112,AD000112,1987-01-06,112,1940.99,ach
R0000227,BILLING,Laurie,Pmtersen,laurie.petersen113@gmail.com,EM000113,743-953-3942,PH000113,AD000113,1986-12-15,113,324.72,ach
R0000230,BILLING,Edward,Murphy,edward.murphy114@hotmail.com,EM000114,+11047095214,PH000114,AD000114,1977-05-19,114,1290.67,ach
R0000234,BILLING,Jonathan,Smith,jonathan.smith115@gmail.com,EM000115,+15623285884,PH000115,AD000115,2000-01-24,115,1773.3,paypal
R0000236,BILLING,Debbie,Fisher,debbie.fisher116@yahoo.com,EM000116,+12474517123,PH000116,AD000116,1999-05-16,116,616.2,card
R0000245,BILLING,Christian,Cole,christian.cole121@yahoo.com,EM000121,+17586926179,PH000121,AD000121,1988-06-19,121,756.87,card
R0000249,BILLING,Jay,Clark,jay.clark122@yahoo.com,EM000122,640-537-7351,PH000122,AD000122,1982-02-23,122,1471.63,paypal
R0000251,BILLING,Corey,Zavala,corey.zavala123@yahoo.com,EM000123,585-064-3171,PH000123,AD000123,1976-04-13,123,286.32,paypal
R0000254,BILLING,Ashley,Sanchez,ashley.sanchez124@hotmail.com,EM000124,(390) 053-2931,PH000124,AD000124,1978-07-02,124,1399.82,card
R0000260,BILLING,Ariel,Hodge,ariel.hodge128@gmail.com,EM000128,(117) 758-9178,PH000128,AD000128,1990-05-20,128,1706.66,ach
R0000262,BILLING,Douglas,Hoover,douglas.hoover129@yahoo.com,EM000129,(390) 847-0076,PH000129,AD000129,1999-09-19,129,790.62,paypal
R0000265,BILLING,Christian,Mcgee,christian.mcgee130@yahoo.com,EM000130,+16177115921,PH000130,AD000130,1974-08-25,130,1993.7,paypal
R0000266,BILLING,Angela,Bennett,angela.bennett131@gmail.com,EM000131,+12499856984,PH000131,AD000131,1968-10-17,131,666.29,paypal
R0000274,BILLING,Todd,Jones,todd.jones134@yahoo.com,EM000134,4527111161,PH000134,AD000134,1976-04-15,134,1851.97,card
R0000275,BILLING,Linda,Rivera,linda.rivera135@yahoo.com,EM000135,528-098-8516,PH000135,AD000135,1993-07-03,135,867.64,card
R0000279,BILLING,Travps,Johnston,travis.johnston136@gmail.com,EM000136,(560) 494-5198,PH000136,AD000136,1955-02-21,136,1588.69,card
R0000280,BILLING,Lori,flynn,lori.flynn137@yahoo.com,EM000137,+13273158514,PH000137,AD000137,1990-11-05,137,1401.48,ach
R0000284,BILLING,Danielle,Miller,danielle.miller138@gmail.com,EM000138,(936) 899-8094,PH000138,AD000138,,138,601.2,paypal
R0000286,BILLING,Hannah,Hernandez,hannah.hernandez139@gmail.com,EM000139,(024) 455-0229,PH000139,AD000139,,139,73.47,card
R0000289,BILLING,Jo,Ware,jo.ware141@yahoo.com,EM000141,+15254599102,PH000141,AD000141,1971-10-06,141,407.53,paypal
R0000293,BILLING,Candice,Cair,candice.carr142@hotmail.com,EM000142,290-147-6797,PH000142,AD000142,1958-05-24,142,1596.19,ach
R0000297,BILLING,Amanda,Jackson,amanda.jackson145@yahoo.com,EM000145,(432) 445-1076,PH000145,AD000145,1967-04-13,145,1063.36,paypal
R0000301,BILLING,Kenneth,Kidd,kenneth.kidd146@yahoo.com,EM000146,(226) 838-8516,PH000146,AD000146,1989-03-25,146,573.64,ach
R0000304,BILLING,Michael,Campbell,michael.campbell147@hotmail.com,EM000147,+10607159696,PH000147,AD000147,1959-01-26,147,1924.33,ach
R0000307,BILLING,Jacqueline,Anderson,jacqueline.anderson148@gmail.com,EM000148,+16416052975,PH000148,AD000148,1950-08-09,148,1646.73,paypal
R0000310,BILLING,Misty,Boone,misty.boone149@gmail.com,EM000149,(161) 369-6816,PH000149,AD000149,1983-06-19,149,499.53,paypal
R0000311,BILLING,Kristina,Shannon,kristina.shannon150@gmail.com,EM000150,+14535218188,PH000150,AD000150,,150,1262.35,ach
R0000312,BILLING,Erik,Cantu,erik.cantu151@yahoo.com,EM000151,355-231-2432,PH000151,AD000151,1998-01-12,151,114.99,card
R0000313,BILLING,Karina,Patterson,karina.patterson152@gmail.com,EM000152,+19212779979,PH000152,AD000152,1997-08-31,152,804.14,card
R0000317,BILLING,David,Jones,david.jones153@yahoo.com,EM000153,+19552717744,PH000153,AD000153,1960-02-27,153,323.67,ach
R0000318,BILLING,Casey,Elliott,casey.elliott154@hotmail.com,EM000154,(905) 814-7700,PH000154,AD000154,1974-05-11,154,842.11,ach
R0000321,BILLING,Sylvia,Edwards,sylvia.edwards155@gmail.com,EM000155,(541) 199-8679,PH000155,AD000155,,155,311.08,paypal
R0000325,BILLING,Michael,Vega,michael.vega157@yahoo.com,EM000157,(071) 518-2037,PH000157,AD000157,1979-04-06,157,1565.43,card
R0000328,BILLING,Jacqueline,Miller,jacqueline.miller158@hotmail.com,EM000158,7889255466,PH000158,AD000158,1980-03-16,158,462.86,ach
R0000329,BILLING,Jessica,Mathis,jessica.mathis159@gmail.com,EM000159,5905151864,PH000159,AD000159,1951-03-18,159,561.11,ach
R0000333,BILLING,Garrett,Moore,garrett.moore161@gmail.com,EM000161,(291) 486-5281,PH000161,AD000161,1988-01-22,161,1557.62,paypal
R0000334,BILLING,Linda,elein,linda.klein162@hotmail.com,EM000162,(685) 054-2357,PH000162,AD000162,1971-07-31,162,1203.67,card
R0000338,BILLING,Natalie,Tapaa,natalie.tapia164@gmail.com,EM000164,059-296-2229,PH000164,AD000164,1981-08-20,164,548.3,card
R0000344,BILLING,Jiseph,Wilson,joseph.wilson167@gmail.com,EM000167,+14688623924,PH000167,AD000167,1981-03-17,167,1581.24,paypal
R0000350,BILLING,Michael,Odonnell,michael.odonnell170@yahoo.com,EM000170,(606) 853-6153,PH000170,AD000170,1986-03-21,170,296.67,ach
R0000351,BILLING,John,Mcknight,john.mcknight171@hotmail.com,EM000171,(051) 522-0472,PH000171,AD000171,1991-01-26,171,1139.32,paypal
R0000358,BILLING,Sharon,Taylor,sharon.taylor177@hotmail.com,EM000177,+18067065405,PH000177,AD000177,1999-06-17,177,534.91,paypal
R0000361,BILLING,Mark,Mccann,mark.mccann180@yahoo.com,EM000180,(303) 054-8687,PH000180,AD000180,1952-03-09,180,563.63,card
R0000366,BILLING,Jeremy,Adams,jeremy.adams182@gmail.com,EM000182,(667) 652-7758,PH000182,AD000182,1978-12-04,182,893.39,ach
R0000368,BILLING,Brad,Miller,brad.miller184@hotmail.com,EM000184,+11154479627,PH000184,AD000184,1958-02-03,184,827.89,paypal
R0000373,BILLING,Richard,Montgomery,richard.montgomery186@hotmail.com,EM000186,+15820297021,PH000186,AD000186,1959-08-01,186,1862.68,ach
R0000376,BILLING,Riehard,aeleon,richard.deleon188@hotmail.com,EM000188,(571) 928-5654,PH000188,AD000188,1977-06-13,188,1627.42,card
R0000378,BILLING,Cynthia,Martinez,cynthia.martinez189@gmail.com,EM000189,3102786814,PH000189,AD000189,1956-08-02,189,311.77,paypal
R0000381,BILLING,Justin,Hugees,justin.hughes190@gmail.com,EM000190,(473) 947-3121,PH000190,AD000190,1965-08-30,190,800.8,card
R0000382,BILLING,Johnny,Trujillo,johnny.trujillo191@yahoo.com,EM000191,(727) 155-1884,PH000191,AD000191,1957-10-16,191,154.42,paypal
R0000383,BILLING,Timothy,Rogers,timothy.rogers192@yahoo.com,EM000192,4225831323,PH000192,AD000192,1977-12-20,192,1293.29,card
R0000386,BILLING,Jessica,Hansen,jessica.hansen194@gmail.com,EM000194,114-678-6691,PH000194,AD000194,1993-08-10,194,1580.45,card
R0000387,BILLING,Brandy,Blackjurn,brandy.blackburn195@gmail.com,EM000195,251-778-5289,PH000195,AD000195,1999-02-20,195,1000.43,ach
R0000389,BILLING,Henry,Miller,henry.miller196@yahoo.com,EM000196,226-801-8242,PH000196,AD000196,1959-03-30,196,1704.05,ach
R0000393,BILLING,Jeremy,Acosta,jeremy.acosta199@gmail.com,EM000199,2299590010,PH000199,AD000199,1992-11-03,199,1916.03,paypal
R0000394,BILLING,Brandon,Vang,brandon.vang200@hotmail.com,EM000200,(943) 969-0784,PH000200,AD000200,1997-02-06,200,1594.77,card
R0000400,BILLING,James,Baker,james.baker202@hotmail.com,EM000202,677-359-2555,PH000202,AD000202,1956-06-29,202,15.89,card
R0000401,BILLING,Rebecca,Conley,rebecca.conley203@hotmail.com,EM000203,6258815371,PH000203,AD000203,1996-06-28,203,1338.3,ach
R0000404,BILLING,Suzanne,Nelson,suzanne.nelson205@yahoo.com,EM000205,+13259532787,PH000205,AD000205,1999-12-05,205,1482.57,card
R0000407,BILLING,Teresa,Anderson,teresa.anderson206@yahoo.com,EM000206,747-016-8733,PH000206,AD000206,1997-04-09,206,1271.37,card
R0000410,BILLING,Jackie,Davis,jackie.davis207@hotmail.com,EM000207,+19500479748,PH000207,AD000207,1983-11-22,207,1567.71,paypal
R0000414,BILLING,Malik,Rivera,malik.rivera208@yahoo.com,EM000208,016-245-6506,PH000208,AD000208,1984-05-10,208,1444.57,ach
R0000418,BILLING,Maria,Brandt,maria.brandt211@yahoo.com,EM000211,+15852398680,PH000211,AD000211,1965-02-08,211,1530.16,card
R0000420,BILLING,Stephen,Harrington,stephen.harrington212@hotmail.com,EM000212,0025787298,PH000212,AD000212,1962-06-30,212,1811.77,card
R0000423,BILLING,Heather,Thompson,heather.thompson213@gmail.com,EM000213,2595269495,PH000213,AD000213,1981-04-02,213,229.0,ach
R0000426,BILLING,Linda,Taylor,linda.taylor214@hotmail.com,EM000214,888-794-7055,PH000214,AD000214,,214,306.75,ach
R0000428,BILLING,Ashley,Contreras,ashley.contreras215@yahoo.com,EM000215,169-409-7499,PH000215,AD000215,1997-06-06,215,1272.55,paypal
R0000431,BILLING,nristen,Harres,kristen.harris216@hotmail.com,EM000216,(309) 728-9623,PH000216,AD000216,,216,1415.15,card
R0000434,BILLING,Sara,Hughes,sara.hughes217@hotmail.com,EM000217,+10913075626,PH000217,AD000217,1980-12-23,217,206.84,ach
R0000437,BILLING,Gregory,Fleming,gregory.fleming218@gmail.com,EM000218,368-970-2838,PH000218,AD000218,1950-10-27,218,420.59,ach
R0000438,BILLING,Mark,Mcbinney,mark.mckinney219@gmail.com,EM000219,(578) 652-7858,PH000219,AD000219,1962-12-13,219,685.62,ach
R0000444,BILLING,Jennifer,Johnson,jennifer.johnson222@hotmail.com,EM000222,(198) 665-2404,PH000222,AD000222,1993-02-05,222,785.65,paypal
R0000445,BILLING,Cameron,Santiago,cameron.santiago223@gmail.com,EM000223,1574733848,PH000223,AD000223,1965-12-05,223,543.35,ach
R0000448,BILLING,Rkonda,Russell,rhonda.russell224@yahoo.com,EM000224,4219933083,PH000224,AD000224,1970-12-11,224,490.64,card
R0000452,BILLING,Ashley,Long,ashley.long226@hotmail.com,EM000226,2677345401,PH000226,AD000226,1954-02-19,226,1605.45,ach
R0000457,BILLING,Melissa,Randolph,melissa.randolph227@hotmail.com,EM000227,+19380262067,PH000227,AD000227,1972-01-23,227,626.35,paypal
R0000458,BILLING,Todd,Murphy,todd.murphy228@hotmail.com,EM000228,+12400499154,PH000228,AD000228,1974-11-25,228,1934.31,card
R0000463,BILLING,Michael,Walker,michael.walker231@hotmail.com,EM000231,(296) 685-1612,PH000231,AD000231,1995-04-23,231,643.82,paypal
R0000468,BILLING,Tina,Nguyen,tina.nguyen233@hotmail.com,EM000233,+15499045301,PH000233,AD000233,1974-06-14,233,308.0,paypal
R0000471,BILLING,Jennifer,Wilson,jennifer.wilson235@gmail.com,EM000235,332-727-9568,PH000235,AD000235,1985-04-27,235,481.12,ach
R0000476,BILLING,Michelle,iackson,michelle.jackson237@yahoo.com,EM000237,191-088-3982,PH000237,AD000237,1976-03-04,237,1064.26,ach
R0000480,BILLING,Ricky,Lopez,ricky.lopez240@hotmail.com,EM000240,740-640-3910,PH000240,AD000240,1994-10-11,240,1924.49,paypal
R0000481,BILLING,Brenda,Green,brenda.green241@hotmail.com,EM000241,651-801-7046,PH000241,AD000241,1998-06-12,241,1358.41,card
R0000485,BILLING,Adam,Davis,adam.davis243@gmail.com,EM000243,+12512868230,PH000243,AD000243,1994-01-03,243,1655.5,ach
R0000487,BILLING,Troy,Smith,troy.smith244@hotmail.com,EM000244,047-868-6337,PH000244,AD000244,1978-01-10,244,1988.17,ach
R0000491,BILLING,Addm,Thompson,adam.thompson246@hotmail.com,EM000246,(311) 907-9030,PH000246,AD000246,1980-07-26,246,1936.31,ach
R0000495,BILLING,Tammy,Hart,tammy.hart247@gmail.com,EM000247,673-830-2843,PH000247,AD000247,,247,502.87,ach
R0000498,BILLING,James,Wright,james.wright249@hotmail.com,EM000249,644-089-2687,PH000249,AD000249,1983-11-02,249,346.6,ach
R0000500,BILLING,Ian,Durao,ian.duran250@hotmail.com,EM000250,(056) 856-6246,PH000250,AD000250,1981-09-29,250,751.93,ach
R0000502,BILLING,Ivan,Coleman,ivan.coleman252@yahoo.com,EM000252,6688263435,PH000252,AD000252,,252,1117.82,ach
R0000505,BILLING,Thdmas,Smith,thomas.smith253@yahoo.com,EM000253,175-183-0469,PH000253,AD000253,1956-12-27,253,581.15,ach
R0000509,BILLING,Shannon,dook,shannon.cook254@yahoo.com,EM000254,(901) 398-3735,PH000254,AD000254,1985-03-04,254,207.21,card
R0000510,BILLING,Tony,Doyle,tony.doyle255@gmail.com,EM000255,403-317-3936,PH000255,AD000255,1994-11-15,255,469.86,paypal
R0000515,BILLING,Kelly,Adams,kelly.adams256@hotmail.com,EM000256,3854678544,PH000256,AD000256,,256,914.16,paypal
R0000517,BILLING,Amy,Johnson,amy.johnson257@yahoo.com,EM000257,+15877175355,PH000257,AD000257,1962-01-17,257,553.81,card
R0000520,BILLING,Amber,Ballarp,amber.ballard259@yahoo.com,EM000259,+16423536937,PH000259,AD000259,1979-09-23,259,943.5,paypal
R0000523,BILLING,Gail,Mitchell,gail.mitchell261@hotmail.com,EM000261,+18728080100,PH000261,AD000261,1951-12-11,261,1465.29,card
R0000528,BILLING,Steven,Moody,steven.moody263@yahoo.com,EM000263,(099) 770-0886,PH000263,AD000263,1967-05-18,263,172.04,card
R0000531,BILLING,Paul,Proctor,paul.proctor264@gmail.com,EM000264,0084840862,PH000264,AD000264,1985-11-19,264,1001.7,ach
R0000534,BILLING,David,Olson,david.olson265@yahoo.com,EM000265,118-233-9845,PH000265,AD000265,1951-01-16,265,1881.24,ach
R0000536,BILLING,Tanya,Perkids,tanya.perkins266@hotmail.com,EM000266,+14615679334,PH000266,AD000266,1958-12-31,266,1873.85,ach
R0000539,BILLING,Tony,Stewart,tony.stewart267@hotmail.com,EM000267,(101) 666-8700,PH000267,AD000267,1972-06-18,267,1220.0,card
R0000541,BILLING,Jessica,Hill,jessica.hill268@hotmail.com,EM000268,217-659-1803,PH000268,AD000268,1992-08-22,268,700.52,ach
R0000544,BILLING,Daniel,Lee,daniel.lee270@gmail.com,EM000270,250-392-6142,PH000270,AD000270,2001-01-11,270,387.29,ach
R0000548,BILLING,Ppul,Lee,paul.lee272@hotmail.com,EM000272,501-631-5999,PH000272,AD000272,1961-10-15,272,1795.28,card
R0000550,BILLING,Laura,Pierce,laura.pierce273@hotmail.com,EM000273,+16504773586,PH000273,AD000273,1975-12-17,273,1800.85,paypal
R0000551,BILLING,Katie,Howe,katie.howe274@yahoo.com,EM000274,(629) 619-4311,PH000274,AD000274,1969-03-19,274,609.88,paypal
R0000554,BILLING,Samantha,Dixon,samantha.dixon275@hotmail.com,EM000275,426-265-5110,PH000275,AD000275,1989-04-04,275,1930.19,card
R0000556,BILLING,Ricardo,Hardin,ricardo.hardin276@hotmail.com,EM000276,(475) 412-1267,PH000276,AD000276,1976-05-26,276,62.61,ach
R0000558,BILLING,Jeffrey,Williams,jeffrey.williams278@hotmail.com,EM000278,9956046618,PH000278,AD000278,1968-04-20,278,1504.8,card
R0000559,BILLING,Christopher,Shaw,christopher.shaw279@hotmail.com,EM000279,3982622444,PH000279,AD000279,1972-06-11,279,325.1,ach
R0000562,BILLING,Gail,Johnston,gail.johnston280@gmail.com,EM000280,721-264-6471,PH000280,AD000280,1964-01-10,280,1564.85,paypal
R0000570,BILLING,Sierra,Jones,sierra.jones283@hotmail.com,EM000283,924-593-7526,PH000283,AD000283,1963-12-21,283,742.72,paypal
R0000572,BILLING,Vincent,Ellis,vincent.ellis284@hotmail.com,EM000284,5479356465,PH000284,AD000284,1966-07-05,284,588.13,card
R0000573,BILLING,Wendy,Irwin,wendy.irwin285@yahoo.com,EM000285,193-982-8073,PH000285,AD000285,1985-11-14,285,212.46,card
R0000575,BILLING,Susan,Salazar,susan.salazar286@hotmail.com,EM000286,7416724342,PH000286,AD000286,1989-12-22,286,1917.25,card
R0000577,BILLING,Amber,Mcbride,amber.mcbride287@gmail.com,EM000287,+16617979688,PH000287,AD000287,1972-02-15,287,657.37,ach
R0000580,BILLING,Nicole,Gutierrez,nicole.gutierrez288@yahoo.com,EM000288,6805891135,PH000288,AD000288,1974-11-19,288,1973.49,paypal
R0000581,BILLING,Christopher,Chan,christopher.chan289@gmail.com,EM000289,(290) 965-6101,PH000289,AD000289,1964-03-28,289,235.93,ach
R0000587,BILLING,Kelly,Ellisln,kelly.ellison292@hotmail.com,EM000292,611-254-5738,PH000292,AD000292,1962-08-11,292,1821.35,paypal
R0000589,BILLING,Shawn,Mosley,shawn.mosley293@gmail.com,EM000293,(757) 177-5140,PH000293,AD000293,1973-03-31,293,1298.81,ach
R0000590,BILLING,Ariana,Kepler,ariana.keller294@gmail.com,EM000294,+11051238282,PH000294,AD000294,1951-04-08,294,1128.26,paypal
