customer_id,first_name,last_name,email,phone,dob,gender,address,city,state,zip,signup_date,segment
CUS000022,Lisa,Smith,lisa.smith22@yahoo.com,357-180-5103,1987-01-10,X,30509 Melissa Village,South Staceyfurt,NE,17161,2021-09-28,standard
CUS000023,Brent,Frazier,brent.frazier23@yahoo.com,649-896-7570,1984-09-12,F,41210 Beth Harbors,West Russellland,ND,84825,2024-12-04,student
CUS000024,Vanessa,Turner,vanessa.turner24@gmail.com,808-865-8466,1954-03-08,M,334 Mckinney Knolls Suite 760,Elizabethshire,PA,69548,2023-04-16,premium
CUS000025,Patricia,Ortiz,patricia.ortiz25@hotmail.com,530-256-2539,1999-05-19,F,968 Perry Crescent,New Tonyburgh,DE,93823,2023-12-23,student
CUS000026,Catherine,Sandoval,catherine.sandoval26@yahoo.com,854-301-0981,1985-06-23,F,8862 Johnson Points,Melissastad,NH,34491,2024-07-09,standard
CUS000027,Megan,Perkins,megan.perkins27@hotmail.com,313-786-4485,1968-04-09,X,735 Walker Overpass,Emilyport,WI,32294,2022-04-24,private_banking
CUS000028,Mark,Wade,mark.wade28@yahoo.com,622-248-0016,1972-09-20,M,15579 Harmon Station,New Jenniferview,KY,20692,2025-10-18,standard
CUS000029,Kelly,Silva,kelly.silva29@hotmail.com,732-133-0917,1985-07-08,F,31196 Wiley Mountain,East Susanfurt,UT,81779,2022-02-05,premium
CUS000030,Thomas,Shelton,thomas.shelton30@gmail.com,891-947-5568,1966-11-12,M,180 Jacobs Ferry,Port Amandaborough,GU,53663,2025-01-23,student
CUS000031,Jeanette,Love,jeanette.love31@yahoo.com,033-143-0106,1975-03-28,X,59771 Olivia Causeway Apt. 303,East Brianburgh,NV,83168,2026-04-19,student
CUS000032,Matthew,Wells,matthew.wells32@hotmail.com,222-098-5253,1971-02-05,M,8273 April Run Apt. 216,Barbarahaven,ID,87213,2024-11-12,standard
CUS000033,Krystal,Rice,krystal.rice33@gmail.com,659-285-0743,1974-07-07,M,59047 Katherine Fall,East Moniqueton,MH,91139,2023-12-01,premium
CUS000034,Heather,Brown,heather.brown34@hotmail.com,549-490-7717,1988-11-07,M,7330 Jones Avenue,Emilyview,CT,95233,2025-12-20,student
CUS000035,Troy,Finley,troy.finley35@yahoo.com,029-548-5739,1946-03-03,F,26505 Gray Neck,Melendezside,MD,59301,2023-03-05,premium
CUS000036,Jessica,Beltran,jessica.beltran36@gmail.com,972-951-2448,1988-04-02,X,37453 Benson Forks Apt. 985,Allenside,MA,36139,2022-07-19,premium
CUS000037,Evan,Young,evan.young37@yahoo.com,922-464-1159,1959-06-23,F,8350 Allison Crescent,South Robertton,CA,18062,2024-05-13,student
CUS000038,Kathryn,Foster,kathryn.foster38@hotmail.com,343-811-8379,1958-02-26,M,72988 Amanda Radial,Priceland,CO,53413,2022-06-18,standard
CUS000039,Jennifer,White,jennifer.white39@gmail.com,753-371-4261,1960-05-25,M,666 Kevin Roads,South Daltonfort,MD,12157,2025-11-12,standard
CUS000040,Ruben,Davis,ruben.davis40@hotmail.com,057-667-2222,1950-02-19,F,40876 Mcconnell Prairie Suite 146,New Thomastown,ND,85253,2022-09-07,premium
CUS000041,Joseph,Carter,joseph.carter41@gmail.com,445-086-9279,1952-01-29,M,12552 Justin Heights,East Scottborough,OK,72624,2025-01-14,private_banking
CUS000042,Cassandra,Rangel,cassandra.rangel42@yahoo.com,775-730-2165,2000-05-17,M,0968 Beth Row,Wheelerhaven,FL,72423,2023-02-28,private_banking
CUS000043,Lisa,Ramos,lisa.ramos43@hotmail.com,164-874-5725,2003-09-08,M,881 Zachary Roads Suite 301,West Erictown,VI,64877,2023-10-12,standard
CUS000044,Ashley,Nguyen,ashley.nguyen44@gmail.com,534-238-6167,1952-12-31,X,367 Myers Islands,North Douglas,NE,85761,2022-04-27,private_banking
CUS000045,James,Meadows,james.meadows45@yahoo.com,883-701-9251,1960-02-25,X,307 King Motorway Apt. 076,Weissville,KS,84356,2023-09-02,student
CUS000046,John,Gray,john.gray46@yahoo.com,202-306-5116,2003-04-06,M,3197 Smith Greens,Paulberg,KS,57289,2024-08-10,student
CUS000047,John,Edwards,john.edwards47@yahoo.com,610-585-8815,1969-03-02,F,499 Kim Court,South Adrienneborough,OK,66628,2024-06-29,premium
CUS000048,Hunter,Mcclain,hunter.mcclain48@yahoo.com,904-329-2352,1953-07-17,X,81455 Thomas Track,Taylorview,NE,77932,2022-10-10,premium
CUS000049,Richard,White,richard.white49@yahoo.com,364-182-4314,1990-04-24,M,1452 Johnson Corner,South Christyborough,OH,72490,2024-06-15,student
CUS000050,Donald,Walsh,donald.walsh50@gmail.com,067-143-9030,1954-09-29,F,8044 Kathleen Burg,Lake Desireeberg,NY,16856,2021-09-06,standard
CUS000051,Megan,Peterson,megan.peterson51@gmail.com,509-351-5731,1990-12-27,M,152 Crawford Road,Boydburgh,FM,26155,2022-01-03,premium
CUS000052,Christopher,Swanson,christopher.swanson52@gmail.com,880-042-7515,1949-03-11,M,109 Julie Square Apt. 078,New Alicia,FL,96722,2023-12-10,premium
CUS000053,Robert,Duncan,robert.duncan53@hotmail.com,602-034-6886,1953-05-16,X,8473 Miller Streets,Lake Caleb,TX,86924,2021-11-01,standard
CUS000054,James,Peterson,james.peterson54@gmail.com,943-293-4121,1966-11-14,X,8253 Russell Route Apt. 687,Rodriguezside,MS,94140,2021-08-04,standard
CUS000055,Courtney,Simpson,courtney.simpson55@gmail.com,735-119-6130,1952-01-25,X,3871 Stacey Highway Apt. 060,New Jon,PA,31353,2023-07-10,standard
CUS000056,Shannon,Carey,shannon.carey56@gmail.com,975-936-5597,1972-09-03,M,0143 Bridges Turnpike,West Todd,AR,36229,2024-09-11,standard
CUS000057,Maurice,Martinez,maurice.martinez57@gmail.com,293-126-6500,1992-04-03,X,548 Randy Trail Apt. 254,Port Daleton,AR,69343,2022-01-09,private_banking
CUS000058,Christine,Morgan,christine.morgan58@hotmail.com,305-660-9566,1996-11-25,X,1240 Espinoza Mall,South Claudiaside,AL,62323,2023-02-02,student
CUS000059,Monica,Navarro,monica.navarro59@yahoo.com,690-534-5396,1970-01-13,X,076 Alicia Grove,North Dawnside,SC,80507,2024-02-15,premium
CUS000060,Benjamin,Love,benjamin.love60@gmail.com,069-488-3743,1968-09-07,X,257 Garcia Station,Goodhaven,VA,52086,2021-08-30,student
CUS000061,Amanda,Carey,amanda.carey61@yahoo.com,756-992-9149,1957-12-22,M,8065 Joseph Port,East Barbara,MH,12718,2025-01-03,premium
CUS000062,Margaret,Key,margaret.key62@yahoo.com,140-519-4175,1970-11-09,M,1030 Lauren Ports,Rioschester,NY,96152,2024-05-31,standard
CUS000063,Donna,Johnson,donna.johnson63@hotmail.com,503-382-8421,1970-02-20,M,8428 Griffith Curve,West Williammouth,MT,90206,2024-10-20,student
CUS000064,Jeffrey,Howard,jeffrey.howard64@hotmail.com,132-879-0305,1951-03-21,X,13429 Anthony Valley Suite 865,Crawfordborough,SC,41138,2025-11-25,premium
CUS000065,Rebecca,Blake,rebecca.blake65@gmail.com,405-942-4735,1954-12-04,F,86025 Amber Lodge Apt. 715,Mcguiretown,VI,70109,2022-08-13,premium
CUS000066,John,Kelly,john.kelly66@gmail.com,592-228-9750,1946-12-28,M,996 Zachary Fall,Robinton,IA,37084,2023-07-08,student
CUS000067,Michael,Roach,michael.roach67@yahoo.com,741-592-3816,1992-12-02,F,0530 Michael Highway,Floresstad,IA,23185,2021-10-25,student
CUS000068,Cole,Thompson,cole.thompson68@hotmail.com,182-126-6131,2003-01-03,M,312 Long Views Apt. 135,Janiceberg,MD,59678,2026-01-09,private_banking
CUS000069,Timothy,Obrien,timothy.obrien69@yahoo.com,655-365-6884,1994-04-28,M,585 Laura Course Apt. 798,Paulville,MT,42557,2022-09-25,private_banking
CUS000070,Carol,Coleman,carol.coleman70@hotmail.com,112-232-5447,1988-04-17,X,9248 Miller Freeway,Jennifermouth,AS,55513,2024-07-27,premium
CUS000071,Briana,Carey,briana.carey71@hotmail.com,846-775-8807,1987-03-23,X,61895 William Dale,Josephstad,GU,10386,2022-02-10,premium
CUS000072,Amanda,Stewart,amanda.stewart72@gmail.com,185-442-9937,1946-05-26,F,3903 Charles Vista Apt. 889,Port Zachary,KS,98190,2023-04-07,student
CUS000073,Brian,Cooke,brian.cooke73@yahoo.com,104-718-3743,1952-10-11,F,82952 Steve Roads Apt. 831,Ryanfort,UT,96821,2025-01-09,student
CUS000074,Mathew,Garza,mathew.garza74@gmail.com,301-967-5516,1979-03-14,F,26552 Cassandra Stravenue Apt. 972,Jameschester,FL,37715,2024-01-02,standard
CUS000075,Patricia,Rivera,patricia.rivera75@hotmail.com,562-388-5708,1973-08-01,M,0440 Ponce Terrace,South Shawn,PA,21629,2023-11-25,premium
CUS000076,Emily,Hughes,emily.hughes76@gmail.com,162-959-7833,1984-07-29,M,409 Troy Island,Fergusonside,NH,63874,2026-04-27,student
CUS000077,Neil,Wallace,neil.wallace77@hotmail.com,136-621-0496,1996-07-06,X,67030 Jose Island Apt. 503,Bentleyview,AR,26110,2025-07-24,student
CUS000078,Jennifer,Maxwell,jennifer.maxwell78@hotmail.com,940-396-2075,1973-04-25,F,4311 Chris Trace,Higginstown,UT,91285,2024-04-25,premium
CUS000079,Jennifer,White,jennifer.white79@hotmail.com,554-851-6887,1976-07-06,X,6342 David Plaza Apt. 589,South Cynthiastad,OR,53918,2021-07-14,student
CUS000080,Margaret,Jones,margaret.jones80@hotmail.com,829-808-8244,1994-03-07,M,6562 Knight Bypass Apt. 932,North Ericabury,MN,74898,2022-01-07,private_banking
CUS000081,Charles,Jones,charles.jones81@gmail.com,150-202-8038,1974-08-04,X,544 Holmes Rapids,East Angela,NV,63510,2023-01-26,student
CUS000082,Thomas,Lopez,thomas.lopez82@hotmail.com,295-916-4381,1946-02-23,M,29981 Williams Haven Suite 387,Port Caitlynland,AK,03554,2025-01-06,student
CUS000083,William,Cook,william.cook83@yahoo.com,680-256-4578,1997-03-12,F,331 Vasquez Underpass,Johnport,KS,89215,2025-10-06,premium
CUS000084,Mark,Young,mark.young84@yahoo.com,039-771-8043,1965-01-20,M,40718 Andrew Motorway Apt. 724,Ashleyberg,WV,88716,2023-06-09,student
CUS000085,Erica,Juarez,erica.juarez85@gmail.com,539-028-8041,1961-09-11,M,01599 Thomas Land Suite 511,Port Valerieville,KS,87790,2024-11-29,standard
CUS000086,Zachary,Miles,zachary.miles86@hotmail.com,094-107-0244,1992-10-15,X,3344 Andrew Junctions Apt. 126,Dunnchester,VT,10210,2026-03-10,premium
CUS000087,Christopher,Conley,christopher.conley87@gmail.com,937-824-9656,1945-08-20,M,515 Edwards Walk,Gomezside,VT,63642,2022-02-06,standard
CUS000088,Brandon,Skinner,brandon.skinner88@yahoo.com,687-780-7465,1993-10-11,M,2417 Harris Forest Suite 267,East Josephfurt,AK,37388,2024-03-28,student
CUS000089,Thomas,Williams,thomas.williams89@gmail.com,330-910-7685,1948-04-04,M,934 Nash Points,Johnsonshire,AL,81767,2022-11-23,premium
CUS000090,Matthew,Douglas,matthew.douglas90@gmail.com,766-550-1802,1997-11-30,M,6258 Villarreal Station,Heatherhaven,AL,91050,2023-05-25,standard
CUS000091,Jessica,Ortega,jessica.ortega91@yahoo.com,930-062-8808,1950-04-28,F,05026 Kayla Club,Heatherhaven,CT,79075,2025-06-10,student
CUS000092,Megan,Cortez,megan.cortez92@yahoo.com,055-370-9952,1966-05-22,F,3507 Nixon Loop Apt. 868,Lake Dean,AZ,11645,2025-11-04,standard
CUS000093,Jennifer,Oconnor,jennifer.oconnor93@gmail.com,362-530-6782,2004-07-12,X,0329 Yesenia Fords Apt. 776,Pricehaven,MO,87762,2024-07-12,student
CUS000094,Jonathan,Peterson,jonathan.peterson94@gmail.com,585-054-3856,1990-03-20,M,9607 Jerry Point Suite 158,Port Pamela,MO,51938,2021-12-26,student
CUS000095,Zachary,Chen,zachary.chen95@hotmail.com,410-561-2300,1953-06-06,F,89728 Wu Shoals,South Stephanie,VT,43730,2024-11-12,student
CUS000096,Alyssa,Long,alyssa.long96@hotmail.com,433-039-2785,1960-12-19,X,3265 Swanson Canyon Apt. 010,North Sherriside,MD,49956,2024-12-22,student
CUS000097,Erica,Collins,erica.collins97@hotmail.com,683-262-8304,1990-06-12,X,97513 Matthew Via,Lake Kennethfurt,OH,24538,2022-10-15,standard
CUS000098,Dana,Coleman,dana.coleman98@yahoo.com,072-878-5565,1985-03-31,M,81587 Baker Gateway,Port Williammouth,PR,95242,2023-05-25,private_banking
CUS000099,Christopher,Kim,christopher.kim99@hotmail.com,879-149-5473,1990-10-27,X,7575 Karen Crossroad Apt. 030,Maloneburgh,AL,39633,2021-07-30,premium
CUS000100,Ashley,Short,ashley.short100@hotmail.com,938-115-9341,1994-12-18,F,96965 Amy Hill,North Shaneville,DE,48173,2025-12-22,private_banking
CUS000101,Craig,Collins,craig.collins101@hotmail.com,009-333-9187,1977-02-25,F,5541 Joseph Garden Suite 780,Davidshire,NJ,77955,2024-12-29,standard
CUS000102,Jeffrey,Mills,jeffrey.mills102@gmail.com,222-512-9853,1982-07-13,M,9206 Rhodes Meadows Apt. 746,Williamsburgh,NY,11501,2025-12-15,private_banking
CUS000103,Marc,Bailey,marc.bailey103@hotmail.com,543-795-3993,1989-04-24,F,850 Jerry Flat,Nicholasmouth,MH,82562,2025-11-07,premium
CUS000104,Richard,Sanford,richard.sanford104@gmail.com,090-163-6460,1976-03-10,M,6619 Guerrero Hollow Apt. 032,Sheltonside,NM,22792,2025-08-01,student
CUS000105,Ebony,Mills,ebony.mills105@hotmail.com,916-961-4856,1995-04-04,M,6505 Pearson Trail Suite 939,South Michael,PA,21665,2022-10-11,standard
CUS000106,Michael,York,michael.york106@hotmail.com,907-811-6373,1997-11-23,M,8139 Darrell Stravenue Suite 634,Sherryberg,WA,62354,2021-07-12,premium
CUS000107,Courtney,Whitehead,courtney.whitehead107@yahoo.com,442-369-8252,1955-04-09,F,879 Smith Corners,Shannonfort,NM,44163,2023-12-18,student
CUS000108,Daniel,Stone,daniel.stone108@hotmail.com,188-246-8267,1951-08-14,F,67165 Thomas Inlet Apt. 053,Austinchester,TN,48367,2024-05-29,premium
CUS000109,Gabriel,Ortega,gabriel.ortega109@yahoo.com,322-242-3201,2002-06-08,F,97001 Scott Via,South Johnathan,NH,96769,2024-04-03,student
CUS000110,Jonathan,Frost,jonathan.frost110@gmail.com,687-212-2427,1994-10-15,F,1182 Adams Motorway,Port Joshuaville,MO,91170,2026-06-04,premium
CUS000111,Barbara,Freeman,barbara.freeman111@gmail.com,383-485-4343,1950-07-10,M,02055 Brenda Dale,Lake Amyfort,PW,73990,2025-12-05,premium
CUS000112,Lucas,Cannon,lucas.cannon112@hotmail.com,564-761-7697,1989-07-23,X,364 Bowers Lodge,South Melissaville,MS,29363,2024-10-15,premium
CUS000113,Ross,Parks,ross.parks113@yahoo.com,840-165-5196,1999-01-15,M,003 Velazquez Way,North Katherinetown,MP,08366,2021-07-19,premium
CUS000114,Elizabeth,Garcia,elizabeth.garcia114@yahoo.com,627-474-1177,1986-10-27,M,784 Randy Inlet Apt. 575,Cathyside,FM,77112,2025-01-29,standard
CUS000115,John,Schmidt,john.schmidt115@hotmail.com,272-710-5202,1958-12-06,F,83642 Bowman Roads,Gabriellefurt,ME,55819,2022-03-17,student
CUS000116,Aaron,Clark,aaron.clark116@yahoo.com,238-546-5174,1958-04-09,F,37831 Jay Court,Harrisstad,NC,17064,2022-03-24,student
CUS000117,Kelly,Estes,kelly.estes117@gmail.com,100-563-7490,1949-12-29,M,406 Bowman Rest Suite 975,Armstrongview,NH,01850,2025-03-07,standard
CUS000118,Brian,Wheeler,brian.wheeler118@gmail.com,202-609-0751,1957-06-29,F,6505 Bailey Bridge Suite 937,Cynthiamouth,GA,62141,2023-10-20,premium
CUS000119,Lindsey,Martin,lindsey.martin119@yahoo.com,246-756-4227,1977-02-15,X,12438 Carol Isle,New Christopherchester,WI,25812,2022-09-21,private_banking
CUS000120,Catherine,Fletcher,catherine.fletcher120@hotmail.com,477-846-9499,1946-08-15,X,3093 Wilson Plains Suite 324,Barberville,MS,01425,2025-08-25,student
CUS000121,William,Gray,william.gray121@yahoo.com,132-195-7767,1965-11-05,M,086 Perry Summit,North Patriciatown,VA,04897,2022-08-23,premium
CUS000122,Ryan,Hayes,ryan.hayes122@yahoo.com,008-687-1659,1997-08-11,X,71758 Fitzgerald Cliffs,South Kelseyton,WA,40296,2025-10-14,standard
CUS000123,Amy,Craig,amy.craig123@yahoo.com,508-193-0658,1983-11-21,F,4903 Sonya Ranch Suite 129,Port Barbarashire,MN,68810,2024-11-07,standard
CUS000124,Joshua,Robinson,joshua.robinson124@gmail.com,297-974-3248,1959-04-13,M,3552 Lawson Landing,Lake Kimberlyhaven,HI,71437,2023-07-09,premium
CUS000125,Emily,Bright,emily.bright125@hotmail.com,454-615-3551,1968-03-22,F,47212 Ortega Courts,West Stephanie,AZ,18537,2025-06-27,private_banking
CUS000126,Cameron,Mcclure,cameron.mcclure126@yahoo.com,319-093-5025,1988-10-03,F,46304 Andrade Drive,Kingland,VI,90549,2025-09-22,premium
CUS000127,Jessica,Potts,jessica.potts127@yahoo.com,848-627-8828,2000-01-14,X,903 Walls Spurs,Fernandezhaven,VT,36091,2024-11-22,private_banking
CUS000128,Jesse,Ashley,jesse.ashley128@yahoo.com,416-618-2055,1986-06-24,F,28336 Ramirez Landing,Lake Ryanland,MP,85736,2026-02-15,premium
CUS000129,Lisa,Beck,lisa.beck129@gmail.com,028-035-9579,1985-11-08,F,66122 Mckay Mount Apt. 202,New Sara,AS,91118,2022-05-06,premium
CUS000130,Samantha,Collins,samantha.collins130@gmail.com,483-696-6788,1996-03-26,X,730 David Square Suite 398,Laurahaven,MN,53822,2022-08-02,student
CUS000131,Caleb,Miranda,caleb.miranda131@hotmail.com,828-291-5289,1955-10-18,X,71444 Kaylee Canyon Apt. 811,East Jennifer,MA,59546,2024-08-31,premium
CUS000132,Raymond,Knight,raymond.knight132@gmail.com,223-356-1879,1962-04-14,M,9123 Mary Turnpike Apt. 465,Port Jennifer,WI,58120,2022-12-10,premium
CUS000133,Michael,Leon,michael.leon133@yahoo.com,685-930-9684,1995-06-18,M,3560 Nelson Locks,Lake Matthew,CT,43419,2022-03-05,premium
CUS000134,Michael,Morris,michael.morris134@yahoo.com,885-089-9463,1978-06-20,M,28616 Kelly Summit,West Joshua,WY,02166,2021-12-14,student
CUS000135,Daniel,Hoffman,daniel.hoffman135@gmail.com,055-213-7536,1995-05-13,X,3743 Hahn Views Suite 072,Danielston,KS,20767,2024-07-04,student
CUS000136,Edward,Boyd,edward.boyd136@yahoo.com,597-932-6920,1956-11-04,M,903 Guerrero Views Apt. 398,West Teresafurt,OR,77262,2023-06-22,student
CUS000137,Kayla,Patton,kayla.patton137@yahoo.com,451-872-9063,2001-11-08,F,24711 Janet Landing,Andersontown,MH,77767,2026-02-07,private_banking
CUS000138,Melissa,Wilson,melissa.wilson138@gmail.com,260-385-7294,1961-07-30,M,813 Anderson Mountain Suite 622,Amyshire,RI,59369,2021-10-01,private_banking
CUS000139,Anthony,King,anthony.king139@yahoo.com,212-461-7521,1955-12-04,F,6271 Mark Fields,Lake Katherineburgh,NC,17372,2022-05-15,private_banking
CUS000140,Becky,Little,becky.little140@hotmail.com,070-210-2951,1965-05-29,X,51451 Michele Pass Apt. 048,Thomasport,AS,89347,2025-04-11,student
CUS000141,Mary,Crosby,mary.crosby141@yahoo.com,559-102-4353,1980-11-08,X,64237 Eaton Viaduct,South William,VT,20573,2024-01-14,standard
CUS000142,Anthony,Cantrell,anthony.cantrell142@yahoo.com,865-198-2771,1995-10-13,F,270 Martinez Crossing,Kyleshire,NM,23437,2023-09-20,private_banking
CUS000143,Daniel,Mcclure,daniel.mcclure143@hotmail.com,671-784-7498,1991-09-19,F,922 Rocha Avenue Suite 220,Simsshire,DC,31360,2021-08-03,private_banking
CUS000144,Jessica,Yates,jessica.yates144@hotmail.com,877-471-9752,1960-12-09,M,751 Ryan Park,Lake Jenniferton,ID,59414,2025-08-06,student
CUS000145,Tracy,Boyd,tracy.boyd145@hotmail.com,414-842-8458,1986-08-31,F,152 Samantha Courts,Port Amandahaven,KY,41958,2026-03-15,standard
CUS000146,Matthew,Reynolds,matthew.reynolds146@hotmail.com,586-765-7057,1988-11-15,X,33451 Joseph Freeway,Dawnhaven,HI,41800,2024-01-12,premium
CUS000147,Patrick,Franco,patrick.franco147@gmail.com,693-965-1993,1972-05-31,F,152 Kenneth Glen Suite 328,Danielhaven,DC,44961,2024-01-24,standard
CUS000148,Darius,West,darius.west148@yahoo.com,368-811-8880,1957-10-27,F,83103 Bryan Stream Apt. 297,Karenstad,AK,44011,2021-10-17,premium
CUS000149,Steven,Smith,steven.smith149@gmail.com,602-049-3656,2001-12-22,M,27915 Patton Villages Suite 278,South Jefferyhaven,VT,39341,2023-11-14,student
CUS000150,Bob,Higgins,bob.higgins150@hotmail.com,715-927-5416,1994-01-26,F,87030 Joshua Expressway,Darrenview,NY,40800,2024-11-08,premium
CUS000151,Joseph,Sanford,joseph.sanford151@yahoo.com,899-099-6195,1979-08-30,X,5234 Gilbert Rue Suite 469,Kellyland,PA,34187,2021-10-02,private_banking
CUS000152,Nathan,Ford,nathan.ford152@gmail.com,613-248-5912,1975-12-12,M,5917 Henderson Station,Fergusonhaven,GA,51707,2025-07-20,student
CUS000153,Marcia,Moore,marcia.moore153@hotmail.com,993-419-4792,1960-06-13,M,446 Jermaine Inlet,Powellfort,SC,93375,2023-10-05,standard
CUS000154,Michele,Cain,michele.cain154@gmail.com,533-200-9031,1982-05-15,M,84864 James Turnpike,Harristown,FL,30194,2023-06-08,premium
CUS000155,William,Daniels,william.daniels155@yahoo.com,918-623-0577,1953-05-23,X,5710 Jenna Village,Wrightstad,OK,38997,2022-03-23,private_banking
CUS000156,Steven,Richardson,steven.richardson156@gmail.com,897-574-4661,1967-06-21,X,28422 Isaac Mall,East Ronaldmouth,AL,99041,2023-08-08,student
CUS000157,James,Rodriguez,james.rodriguez157@yahoo.com,552-794-0970,1998-05-22,M,75783 Coleman Falls Apt. 426,Chloeside,MI,37189,2024-11-29,standard
CUS000158,Robert,Wiley,robert.wiley158@hotmail.com,154-823-9982,1995-04-23,M,1068 Jennifer Pass Suite 735,Davidhaven,LA,10739,2023-02-17,student
CUS000159,Linda,Adams,linda.adams159@gmail.com,626-397-3099,1959-02-10,F,597 Sandra Branch Suite 177,Lake Bryanberg,AZ,66624,2021-08-19,standard
CUS000160,Jessica,Brown,jessica.brown160@gmail.com,204-501-8474,1973-01-23,X,32080 Brown Knoll Apt. 749,Port Heatherburgh,NY,21344,2024-07-15,premium
CUS000161,Susan,Armstrong,susan.armstrong161@yahoo.com,556-715-6008,1963-09-26,X,84544 West Courts,North Theresaton,AK,44631,2021-06-21,private_banking
CUS000162,Warren,King,warren.king162@yahoo.com,457-669-1970,1998-11-23,X,5291 Yates Views Apt. 726,Lake Lauren,MP,40637,2022-06-13,standard
CUS000163,Alexander,Bailey,alexander.bailey163@gmail.com,424-265-8939,1948-04-23,X,89228 Holly Park Apt. 983,Lake Debraport,UT,36982,2025-02-20,student
CUS000164,Kevin,Vaughn,kevin.vaughn164@hotmail.com,600-209-4706,1994-07-03,F,73089 Campbell Rue,Josemouth,IA,82614,2024-08-16,standard
CUS000165,Mary,Johnson,mary.johnson165@yahoo.com,101-134-1696,1985-06-03,M,04114 Matthew Parkways Suite 227,Lake Jessica,AK,74622,2024-12-29,private_banking
CUS000166,Jeff,Jones,jeff.jones166@gmail.com,976-862-9228,1977-03-04,M,1729 White Locks Suite 246,Davidton,PW,39013,2024-01-08,student
CUS000167,Tamara,Martinez,tamara.martinez167@gmail.com,156-770-5504,1950-11-09,X,854 Page Summit,New Karashire,MH,24417,2021-06-26,standard
CUS000168,Connie,Monroe,connie.monroe168@gmail.com,825-729-5318,1974-08-20,M,43333 Judy Canyon,New Juliehaven,DC,43332,2023-08-09,student
